,index,carat,cut,color,clarity,depth,table,price,Cluster
49,49,0.7,2,6,4,0.6124234470691163,56.0,8.179,0
50,50,1.22,3,4,2,0.6179693206720234,59.0,8.837,1
51,51,1.61,3,6,2,0.5903141361256544,60.0,9.412,1
52,52,0.71,2,5,3,0.6252189141856391,58.0,8.115,1
53,53,0.32,2,1,2,0.6238738738738739,58.0,5.961,1
54,54,0.54,4,5,2,0.6152380952380953,55.0,7.483,0
55,55,1.0,4,1,1,0.6252945797329144,56.0,8.094,0
56,56,0.3,3,3,4,0.6178861788617886,60.0,6.654,1
57,57,1.0,2,4,1,0.6340694006309148,55.0,8.302,0
58,58,0.38,4,5,7,0.627155172413793,55.0,7.268,0
59,59,0.42,4,5,3,0.6206896551724138,56.0,6.931,0
60,60,0.74,4,5,2,0.6168384879725085,56.0,7.93,0
61,61,0.7,4,4,2,0.6187554776511831,57.0,7.71,0
62,62,0.61,1,6,1,0.5976385104450499,62.0,7.261,1
63,63,1.21,4,4,0,0.6202346041055719,56.0,8.384,0
64,64,1.28,4,3,2,0.6219336219336219,56.0,8.936,0
65,65,1.26,2,3,2,0.6326530612244898,58.0,8.976,1
66,66,0.4,3,6,4,0.6247334754797442,60.0,7.09,1
67,67,0.3,3,2,6,0.6271777003484321,59.0,6.528,1
68,68,0.3,4,1,6,0.6127167630057804,57.0,6.564,0
69,69,0.81,4,5,1,0.6208053691275167,55.0,8.039,0
70,70,0.32,4,5,3,0.6270022883295194,55.0,6.554,0
71,71,0.51,4,3,4,0.6236559139784946,57.0,7.432,0
72,72,0.76,4,6,4,0.6165670367207514,56.0,8.384,0
73,73,0.44,3,3,2,0.6095820591233436,60.0,6.898,1
74,74,0.72,4,6,4,0.6144578313253011,56.0,8.195,0
75,75,1.03,4,6,1,0.6283941039565554,56.0,8.469,0
76,76,0.6,3,3,2,0.6176744186046511,60.0,7.406,1
77,77,0.7,2,3,2,0.6295313881520779,59.0,7.73,1
78,78,1.1,2,3,6,0.6138763197586727,60.0,9.133,1
79,79,0.3,4,4,4,0.6129032258064516,55.0,6.594,0
80,80,0.78,1,3,2,0.638888888888889,64.0,7.777,1
81,81,1.13,3,3,6,0.5929721815519765,59.0,9.09,1
82,82,0.56,4,6,2,0.6228571428571429,57.0,7.364,0
83,83,0.77,3,1,4,0.6263829787234043,55.0,7.834,0
84,84,0.51,3,1,3,0.6294117647058823,55.0,7.072,0
85,85,2.09,1,0,3,0.5715969357690042,64.0,9.357,1
86,86,0.36,4,3,6,0.6284454244762955,57.0,6.959,0
87,87,1.26,4,5,5,0.6108726752503576,57.0,9.568,0
88,88,0.33,3,2,7,0.6171171171171173,59.0,6.918,1
89,89,0.51,2,1,2,0.6345776031434185,55.0,6.974,0
90,90,0.31,3,4,3,0.6286379511059372,59.0,6.687,1
91,91,0.71,2,2,2,0.607484769364665,60.0,7.726,1
92,92,0.35,3,5,2,0.6114790286975719,59.0,6.669,1
93,93,0.31,4,3,6,0.6118721461187215,57.0,6.649,0
94,94,0.3,3,1,4,0.6161026837806302,60.0,6.41,1
95,95,0.54,4,6,3,0.6183206106870229,56.0,7.621,0
96,96,0.38,4,1,3,0.6139037433155079,55.0,6.515,0
97,97,1.08,2,4,6,0.609811320754717,58.0,9.231,0
98,98,1.28,4,2,6,0.6165951359084405,55.0,9.078,0
99,99,1.08,4,3,2,0.6184310738766184,56.0,8.585,0
100,100,1.5,3,0,4,0.6284530386740331,59.0,9.131,1
101,101,0.39,2,6,5,0.6135881104033969,59.0,6.962,1
102,102,1.01,2,2,2,0.6259780907668231,58.0,8.382,1
103,103,0.9,3,6,2,0.6216436126932465,58.0,8.436,1
104,104,1.84,3,2,2,0.5966228893058161,58.0,9.54,1
105,105,0.79,3,0,2,0.5914332784184514,57.0,7.696,0
106,106,1.61,1,5,1,0.6094477711244178,62.0,9.287,1
107,107,1.12,3,3,7,0.6087602078693393,57.0,9.119,0
108,108,0.31,4,4,5,0.6115515288788222,56.0,6.574,0
109,109,0.31,4,3,4,0.6102857142857143,56.0,6.465,0
110,110,1.22,3,1,3,0.6287822878228781,58.0,8.639,1
111,111,0.7,1,4,3,0.6286731967943009,61.0,7.86,1
112,112,1.07,3,4,1,0.6183206106870228,59.0,8.443,1
113,113,0.33,4,3,4,0.6136618141097425,56.0,6.55,0
114,114,0.4,3,6,5,0.6071428571428572,60.0,7.188,1
115,115,0.5,1,4,3,0.6329365079365079,57.0,7.27,0
116,116,0.5,1,6,1,0.5852713178294574,64.0,6.865,1
117,117,0.56,4,4,1,0.6133584195672624,57.0,7.154,0
118,118,0.41,4,6,3,0.5973223480947476,57.0,7.071,0
119,119,1.03,3,1,2,0.5842185128983308,60.0,8.098,1
120,120,0.54,4,5,4,0.6257197696737044,55.0,7.508,0
121,121,0.3,4,4,3,0.611111111111111,56.0,6.654,0
122,122,0.9,3,3,2,0.629843363561418,58.0,8.236,1
123,123,0.61,4,1,1,0.6100456621004566,57.0,7.245,0
124,124,1.26,2,2,1,0.622093023255814,57.0,8.655,1
125,125,1.22,3,2,4,0.5894134477825465,59.0,8.893,1
126,126,0.4,3,5,3,0.592901878914405,59.0,6.816,1
127,127,0.34,4,5,1,0.6126526082130965,55.0,6.118,0
128,128,1.0,3,2,3,0.6044718581341558,58.0,8.514,1
129,129,1.58,4,5,2,0.6099667774086378,57.0,9.515,0
130,130,2.01,4,1,2,0.5986642380085003,60.0,9.748,1
131,131,0.32,4,6,3,0.6103603603603605,56.0,6.631,0
132,132,2.0,2,0,3,0.6082665021591609,62.0,9.476,1
133,133,1.27,4,5,4,0.6178160919540229,57.0,9.379,0
134,134,1.5,2,4,2,0.6337047353760445,58.0,9.302,1
135,135,0.5,4,4,1,0.608357628765792,57.0,7.093,0
136,136,1.51,4,1,2,0.6106973595125254,59.0,9.029,1
137,137,0.62,3,3,3,0.6216955332725617,55.0,7.508,0
138,138,1.68,3,0,1,0.5916398713826366,57.0,8.943,1
139,139,0.52,4,3,4,0.6162679425837322,54.0,7.451,0
140,140,1.01,2,5,2,0.6336477987421385,59.0,8.518,1
141,141,1.28,4,3,1,0.6136200716845879,57.0,8.681,0
142,142,0.5,4,2,3,0.6165853658536585,55.0,7.394,0
143,143,0.66,2,3,5,0.6040386303775241,59.0,7.701,1
144,144,1.01,2,4,3,0.6265624999999999,56.0,8.726,0
145,145,0.31,4,3,3,0.6199770378874856,57.0,6.299,0
146,146,0.31,4,4,7,0.600907029478458,57.0,7.052,0
147,147,0.58,4,4,6,0.6162464985994397,57.0,7.911,0
148,148,0.4,2,4,2,0.6310160427807486,58.0,6.782,1
149,149,0.9,4,3,4,0.6207455429497569,56.0,8.62,0
150,150,1.5,3,4,2,0.6209732693625771,60.0,9.079,1
151,151,1.17,3,6,4,0.6167531504818385,59.0,9.204,1
152,152,1.5,2,6,4,0.6123287671232875,63.0,9.705,1
153,153,0.9,2,5,2,0.6175040518638574,60.0,8.307,1
154,154,0.72,1,4,5,0.6132404181184669,65.0,8.054,1
155,155,0.71,4,6,3,0.6039689387402933,57.0,8.05,0
156,156,1.56,4,0,3,0.6235690235690236,57.0,8.963,0
157,157,0.71,2,3,3,0.6313932980599647,54.0,7.853,0
158,158,0.52,2,3,6,0.6109510086455332,58.0,7.656,0
159,159,0.71,2,0,4,0.6412078152753107,58.0,7.597,1
160,160,1.11,4,1,2,0.6185101580135441,57.0,8.457,0
161,161,1.27,3,1,2,0.6226415094339623,56.0,8.646,0
162,162,0.24,2,6,2,0.6306532663316582,55.0,6.163,0
163,163,1.05,2,2,1,0.6300309597523219,59.0,8.333,1
164,164,1.01,3,3,1,0.6252945797329144,60.0,8.354,1
165,165,0.7,3,6,1,0.6180860403863038,55.0,7.706,0
166,166,0.42,3,5,3,0.608695652173913,59.0,6.865,1
167,167,0.34,4,2,6,0.6108048511576626,56.0,6.621,0
168,168,1.11,4,5,1,0.6119402985074627,55.0,8.586,0
169,169,1.65,2,0,2,0.6154864328259432,58.0,8.98,1
170,170,0.81,2,2,4,0.6355140186915889,57.0,8.04,0
171,171,0.81,4,3,5,0.6178184845961698,55.1,8.325,0
172,172,1.47,0,2,0,0.6666666666666665,59.0,8.497,1
173,173,2.08,3,1,1,0.6121951219512195,58.0,9.637,1
174,174,1.55,4,1,3,0.6260162601626017,56.0,9.131,0
175,175,0.32,4,5,5,0.6133032694475761,54.0,6.658,0
176,176,0.55,4,5,3,0.6197718631178707,55.0,7.447,0
177,177,0.3,3,1,2,0.6161026837806302,62.0,6.227,1
178,178,1.56,2,0,2,0.5957727873183619,58.0,8.912,1
179,179,0.7,1,5,4,0.6099912357581069,61.0,7.99,1
180,180,0.3,2,5,3,0.6146682188591386,58.0,6.461,1
181,181,0.33,3,3,3,0.6004464285714285,58.0,6.611,1
182,182,0.72,3,5,1,0.6175195143104943,58.0,7.662,1
183,183,0.7,3,3,4,0.5927209705372617,62.0,7.822,1
184,184,1.04,2,6,4,0.6231546231546231,59.0,9.011,1
185,185,0.34,1,2,3,0.6316964285714285,55.0,6.286,0
186,186,1.02,3,2,2,0.620203602192639,60.0,8.476,1
187,187,0.31,1,5,2,0.6342592592592593,57.0,6.299,0
188,188,1.12,4,5,2,0.6157303370786517,55.0,8.773,0
189,189,1.0,2,2,2,0.6187845303867403,58.0,8.508,1
190,190,0.33,4,3,4,0.6213151927437642,56.0,6.501,0
191,191,0.55,3,3,2,0.6209523809523809,56.0,7.186,0
192,192,1.2,3,2,4,0.6134699853587117,58.0,8.799,1
193,193,1.51,3,3,2,0.615595075239398,59.0,9.282,1
194,194,0.54,2,5,3,0.6120114394661582,58.0,7.442,1
195,195,0.32,3,1,4,0.6132723112128148,58.0,6.474,0
196,196,0.33,3,3,4,0.6143497757847535,59.0,6.75,1
197,197,0.54,4,3,5,0.6205571565802114,56.0,7.593,0
198,198,0.3,4,5,7,0.6173410404624279,55.0,6.849,0
199,199,0.31,3,0,2,0.6086956521739131,60.0,6.142,1
200,200,0.41,1,4,4,0.5799180327868851,61.0,6.792,1
201,201,0.72,4,2,2,0.6219512195121951,58.0,7.807,1
202,202,0.43,4,2,6,0.6153846153846154,56.0,7.169,0
203,203,0.9,2,4,2,0.6113328012769353,56.0,8.267,0
204,204,0.3,0,5,5,0.6658653846153846,54.0,6.373,0
205,205,1.01,3,3,3,0.623924941360438,58.0,8.717,1
206,206,1.5,3,3,1,0.6210670314637482,60.0,8.868,1
207,207,0.56,3,5,3,0.6106442577030812,57.0,7.53,0
208,208,0.33,4,6,2,0.6237288135593219,54.0,6.41,0
209,209,0.5,2,6,4,0.6314741035856574,57.0,7.447,0
210,210,1.2,3,3,4,0.6294642857142857,59.0,8.695,1
211,211,0.7,2,1,2,0.6217891939769707,55.0,7.672,0
212,212,0.38,4,4,4,0.6244635193133047,54.0,6.906,0
213,213,0.43,4,6,2,0.6150670794633643,56.0,6.97,0
214,214,0.42,4,6,5,0.6208333333333333,55.0,7.19,0
215,215,0.31,4,5,3,0.6183908045977012,56.0,6.771,0
216,216,1.04,2,4,1,0.6228748068006182,58.0,8.338,1
217,217,1.26,4,5,2,0.6152737752161384,59.0,9.056,1
218,218,0.3,4,6,2,0.6218097447795823,55.0,6.314,0
219,219,1.56,3,5,3,0.614765100671141,58.0,9.406,1
220,220,0.43,3,4,3,0.6096807415036045,57.0,6.875,0
221,221,0.5,1,4,2,0.5955383123181377,61.0,7.102,1
222,222,0.27,2,3,6,0.6280193236714975,55.0,6.339,0
223,223,0.78,2,6,3,0.6224489795918368,56.0,8.207,0
224,224,0.53,1,5,4,0.631782945736434,56.0,7.482,0
225,225,1.06,4,3,1,0.620583717357911,58.0,8.515,1
226,226,0.4,2,4,4,0.630901287553648,59.0,6.844,1
227,227,0.59,4,3,2,0.6347417840375587,56.0,7.227,0
228,228,1.08,2,5,1,0.6348962336664103,56.0,8.223,0
229,229,1.21,4,2,3,0.6282335550628233,55.0,8.68,0
230,230,0.4,3,6,2,0.6165254237288135,58.0,6.898,1
231,231,0.41,4,6,1,0.6259220231822973,57.0,6.735,0
232,232,0.32,4,6,2,0.6271379703534778,54.0,6.628,0
233,233,0.58,3,5,2,0.5847846012832264,55.0,7.249,0
234,234,1.1,2,0,1,0.6182917611489039,58.0,8.362,1
235,235,0.71,1,4,4,0.5804794520547946,61.0,7.847,1
236,236,0.33,2,4,4,0.5911111111111111,60.0,6.649,1
237,237,0.25,3,5,4,0.6153846153846155,60.0,6.075,1
238,238,0.25,4,5,3,0.6188118811881189,57.0,6.282,0
239,239,1.0,3,6,2,0.6251968503937009,59.0,8.679,1
240,240,0.7,2,4,4,0.6278659611992945,59.0,8.024,1
241,241,0.32,4,3,3,0.6141552511415526,56.0,6.579,0
242,242,0.51,4,5,4,0.6269531250000001,56.0,7.472,0
243,243,1.51,4,2,3,0.6224350205198358,57.0,9.354,0
244,244,2.03,2,3,2,0.6127239036442249,59.0,9.812,1
245,245,1.02,4,1,2,0.6201550387596899,56.0,8.463,0
246,246,1.04,2,3,2,0.6180981595092025,59.0,8.531,1
247,247,0.37,4,4,6,0.6152173913043479,56.0,6.836,0
248,248,0.43,4,3,4,0.6185567010309279,55.0,6.849,0
249,249,0.3,4,3,5,0.6180555555555555,57.0,6.745,0
250,250,0.5,1,0,2,0.5963213939980639,60.0,6.866,1
251,251,1.56,3,3,1,0.6171352074966533,59.0,9.089,1
252,252,0.71,2,5,4,0.6214788732394366,57.0,8.009,0
253,253,1.25,4,2,1,0.6150506512301013,54.0,8.497,0
254,254,0.38,4,2,1,0.6119402985074628,54.0,6.234,0
255,255,0.94,3,4,1,0.6224000000000001,59.0,8.35,1
256,256,0.35,4,4,3,0.6142076502732241,55.0,6.56,0
257,257,0.3,2,2,2,0.5868814729574222,63.0,6.223,1
258,258,0.41,4,4,3,0.618448637316562,57.0,6.76,0
259,259,0.31,4,3,6,0.6199770378874856,55.0,6.671,0
260,260,0.32,3,4,7,0.5881032547699214,58.0,6.985,0
261,261,0.36,3,2,3,0.6086956521739131,59.0,6.592,1
262,262,1.54,1,2,4,0.6309362279511533,57.0,9.284,0
263,263,0.41,3,5,1,0.6210526315789474,58.0,6.526,1
264,264,2.01,4,3,1,0.6091743119266055,55.0,9.776,0
265,265,0.66,2,2,4,0.6151079136690647,58.1,7.59,1
266,266,1.02,0,1,1,0.6548672566371682,57.0,8.243,1
267,267,0.52,4,2,6,0.6121270452358036,57.0,7.501,0
268,268,1.01,1,3,5,0.6241134751773049,59.0,8.9,1
269,269,1.59,3,2,2,0.6096752816434725,58.0,9.086,1
270,270,0.6,4,3,5,0.6200551977920883,57.0,7.761,0
271,271,0.26,4,5,4,0.6180048661800488,55.0,6.114,0
272,272,0.42,4,1,4,0.6198347107438017,55.0,6.65,0
273,273,0.8,2,0,2,0.6157718120805368,56.0,7.707,0
274,274,2.01,0,0,4,0.6658163265306122,54.0,9.575,0
275,275,1.76,2,0,1,0.6094750320102432,60.0,9.111,1
276,276,1.63,1,4,2,0.5767741935483871,60.0,9.297,1
277,277,1.24,4,0,1,0.6014285714285714,57.0,8.473,0
278,278,0.58,4,3,1,0.6148148148148147,55.0,7.151,0
279,279,0.74,4,3,2,0.61340206185567,57.0,8.049,0
280,280,0.36,4,2,3,0.6138828633405641,57.0,6.375,0
281,281,0.3,2,4,3,0.6287703016241298,57.0,6.405,0
282,282,0.71,2,5,2,0.6313932980599647,58.0,7.828,1
283,283,1.34,3,3,3,0.6066619418851878,59.0,9.137,1
284,284,1.01,3,5,1,0.6157443491816056,58.0,8.448,1
285,285,0.41,4,3,3,0.6272439281942979,56.0,6.967,0
286,286,0.9,2,6,2,0.6276422764227642,59.0,8.404,1
287,287,0.31,4,3,6,0.6085972850678733,56.0,6.649,0
288,288,0.37,3,4,1,0.6021505376344085,60.0,6.436,1
289,289,2.01,4,0,2,0.6234413965087282,57.0,9.442,0
290,290,0.71,3,6,3,0.6124234470691163,59.0,7.946,1
291,291,1.52,0,2,2,0.645876645876646,55.0,8.914,0
292,292,2.22,3,4,1,0.591764705882353,59.0,9.514,1
293,293,0.47,2,4,2,0.6112224448897795,61.0,6.929,1
294,294,1.0,0,5,2,0.6634225466342255,62.0,8.328,1
295,295,2.25,3,1,1,0.6189624329159213,59.0,9.316,1
296,296,0.55,4,0,2,0.6091081593927894,57.0,7.003,0
297,297,0.38,4,3,5,0.6223175965665235,53.6,6.834,0
298,298,1.51,1,3,3,0.6422145328719723,54.0,9.362,0
299,299,1.21,4,1,4,0.6054913294797688,58.0,8.747,0
300,300,1.0,1,5,6,0.639488409272582,59.0,9.031,1
301,301,0.33,3,5,2,0.604494382022472,59.0,6.611,1
302,302,1.39,3,3,2,0.6129256428075052,59.0,8.968,1
303,303,1.5,2,2,1,0.6198347107438017,63.0,8.894,1
304,304,0.53,4,3,4,0.6149425287356322,57.0,7.491,0
305,305,0.3,3,5,2,0.6225319396051104,58.0,6.515,1
306,306,0.3,3,1,5,0.6096997690531178,60.0,6.265,1
307,307,0.6,4,5,3,0.6115702479338843,56.0,7.691,0
308,308,0.5,3,2,1,0.6104023552502453,58.0,6.865,1
309,309,0.61,4,3,4,0.6206261510128914,56.0,7.681,0
310,310,0.46,4,0,6,0.625254582484725,56.0,6.926,0
311,311,2.01,1,2,2,0.6221945137157108,58.0,9.725,1
312,312,1.07,4,1,2,0.6155015197568389,57.0,8.657,0
313,313,1.01,2,2,1,0.6341463414634146,57.0,8.186,1
314,314,0.41,4,3,1,0.6097814776274715,57.0,6.729,0
315,315,0.45,3,5,4,0.6077235772357724,60.0,7.156,1
316,316,0.42,4,1,6,0.6248693834900731,57.0,6.784,0
317,317,0.92,4,1,2,0.6182108626198084,57.0,8.109,0
318,318,1.01,1,5,3,0.6387351778656127,59.0,8.849,1
319,319,0.23,2,6,5,0.6037735849056604,59.0,6.273,1
320,320,0.54,4,4,3,0.6277511961722488,57.0,7.391,0
321,321,0.55,2,5,5,0.6033519553072626,56.0,7.783,0
322,322,0.4,4,5,6,0.6240681576144835,57.0,7.242,0
323,323,0.78,2,2,1,0.6313993174061434,56.0,7.761,0
324,324,0.9,2,4,1,0.6260162601626016,56.0,8.122,0
325,325,0.52,2,6,3,0.6346718903036239,57.0,7.511,0
326,326,0.7,1,4,5,0.6305506216696269,58.0,7.909,1
327,327,0.9,1,2,4,0.6345053147996729,59.0,8.368,1
328,328,0.9,1,2,2,0.6206896551724138,61.0,8.145,1
329,329,1.51,1,2,2,0.6218256691832533,61.0,9.089,1
330,330,1.0,1,4,2,0.6359300476947537,58.0,8.505,1
331,331,1.08,4,3,3,0.6181818181818183,55.0,8.844,0
332,332,1.72,1,4,2,0.6319947333772218,61.0,9.51,1
333,333,0.38,4,4,1,0.6065747613997879,56.0,6.718,0
334,334,0.9,1,4,3,0.6382978723404256,55.0,8.368,0
335,335,0.36,2,2,3,0.6099137931034482,55.0,6.368,0
336,336,0.91,4,4,1,0.6199677938808373,56.0,8.443,0
337,337,0.37,3,3,2,0.6207650273224044,60.0,6.562,1
338,338,0.9,3,4,1,0.6114649681528663,54.0,8.148,0
339,339,0.5,4,5,3,0.6042471042471043,56.0,7.545,0
340,340,1.51,4,3,5,0.6229508196721311,55.0,9.599,0
341,341,0.32,4,2,3,0.6117381489841986,55.0,6.26,0
342,342,0.51,2,1,3,0.632936507936508,56.0,7.039,0
343,343,0.41,4,3,3,0.6267087276550999,56.0,6.967,0
344,344,0.9,2,5,1,0.6415094339622641,54.0,8.146,0
345,345,2.01,4,1,1,0.6209876543209877,55.0,9.421,0
346,346,0.32,4,2,6,0.6194285714285714,55.0,6.842,0
347,347,2.0,1,3,3,0.640960809102402,55.0,9.792,0
348,348,0.91,3,6,2,0.628152969894223,57.0,8.349,0
349,349,0.71,3,4,6,0.5813559322033898,58.0,8.116,0
350,350,1.53,4,4,2,0.6249149081007488,57.0,9.352,0
351,351,1.19,3,2,2,0.6083150984682713,59.0,8.648,1
352,352,0.62,0,4,2,0.5506493506493506,66.0,7.403,1
353,353,1.2,2,1,2,0.6291635825314581,57.0,8.559,1
354,354,0.7,4,5,2,0.6164623467600701,56.0,8.111,0
355,355,0.39,2,3,6,0.6274089935760172,58.0,6.75,0
356,356,0.33,4,2,7,0.6185101580135441,55.0,6.766,0
357,357,0.53,4,5,5,0.6218809980806141,54.0,7.729,0
358,358,0.34,3,5,3,0.6095661846496108,59.0,6.613,1
359,359,1.02,3,4,5,0.6092307692307692,59.0,9.08,1
360,360,0.5,0,4,0,0.6700715015321758,57.0,6.441,1
361,361,0.55,4,3,5,0.6039142590866728,56.0,7.575,0
362,362,0.3,4,3,7,0.6234067207415991,55.0,6.76,0
363,363,0.31,4,3,6,0.6123853211009175,56.0,6.953,0
364,364,0.77,1,5,3,0.634020618556701,57.0,8.099,0
365,365,0.55,1,4,2,0.6422372227579556,57.9,7.244,1
366,366,0.9,1,6,3,0.6583333333333333,58.0,8.451,1
367,367,0.3,3,1,4,0.5879682179341658,61.0,6.41,1
368,368,1.26,3,0,2,0.6178390137781001,58.0,8.533,1
369,369,0.8,4,4,3,0.6213266162888329,56.0,8.305,0
370,370,0.73,3,5,2,0.6265270506108201,58.0,7.902,1
371,371,0.27,2,2,5,0.6256038647342994,55.0,6.223,0
372,372,0.5,2,6,2,0.6190009794319294,61.0,7.27,1
373,373,1.0,2,3,1,0.6305732484076433,63.0,8.22,1
374,374,0.9,0,1,5,0.6695059625212947,56.0,8.031,0
375,375,0.52,4,2,4,0.620889748549323,56.0,7.377,0
376,376,0.75,2,5,3,0.6037099494097808,56.0,8.247,0
377,377,0.71,2,5,1,0.6194225721784777,63.0,7.773,1
378,378,0.4,2,6,2,0.6305732484076433,57.0,6.829,0
379,379,1.56,4,1,5,0.6212018906144497,56.0,9.257,0
380,380,0.29,2,4,6,0.6233766233766235,58.0,6.498,0
381,381,0.9,2,6,4,0.6303818034118603,56.0,8.658,0
382,382,1.03,4,4,4,0.5899172310007524,55.0,8.956,0
383,383,1.07,2,6,2,0.602102102102102,55.0,8.7,0
384,384,0.28,2,5,6,0.5955967555040557,59.0,6.465,1
385,385,0.59,4,3,3,0.6261682242990655,54.0,7.417,0
386,386,0.9,4,6,1,0.626938775510204,57.0,8.292,0
387,387,0.43,2,2,6,0.601823708206687,55.0,7.107,0
388,388,2.0,2,2,2,0.632895559724828,59.0,9.785,1
389,389,1.01,3,2,2,0.628930817610063,58.0,8.078,1
390,390,1.33,4,3,4,0.6201550387596899,55.0,9.263,0
391,391,0.31,4,6,2,0.6201372997711672,56.0,6.528,0
392,392,0.41,4,5,5,0.6232948583420777,56.0,7.125,0
393,393,1.51,3,1,4,0.6296296296296297,59.0,9.16,1
394,394,0.3,3,1,4,0.6169965075669382,58.0,6.41,0
395,395,0.4,1,0,4,0.6335135135135136,58.0,6.447,1
396,396,1.04,0,3,4,0.6493301812450748,58.0,8.636,1
397,397,2.33,3,0,2,0.5994236311239193,59.0,9.596,1
398,398,0.35,4,6,3,0.609271523178808,57.0,6.72,0
399,399,1.26,3,1,1,0.6010064701653486,59.0,8.547,1
400,400,0.4,3,6,3,0.6174920969441517,59.0,6.957,1
401,401,0.71,1,1,5,0.6366047745358091,56.0,7.733,0
402,402,0.71,3,5,6,0.6273127753303964,60.0,8.237,1
403,403,1.12,4,4,5,0.6142322097378276,57.0,9.173,0
404,404,1.74,4,0,4,0.6112531969309463,56.0,9.323,0
405,405,0.73,3,5,3,0.6196213425129088,57.0,7.956,0
406,406,0.71,4,4,1,0.6135181975736569,55.0,7.834,0
407,407,0.4,4,5,3,0.6113445378151261,56.0,6.816,0
408,408,0.41,2,2,2,0.6,61.0,6.526,1
409,409,0.38,3,4,6,0.592050209205021,58.0,7.136,0
410,410,1.33,1,1,4,0.6368876080691643,56.0,8.848,0
411,411,0.4,4,3,6,0.6176470588235294,53.0,6.965,0
412,412,0.7,2,1,6,0.6289752650176679,58.0,7.829,0
413,413,0.37,4,3,7,0.6047008547008548,56.0,6.831,0
414,414,0.59,3,4,2,0.6224299065420561,60.0,7.661,1
415,415,0.54,3,4,2,0.6233269598470362,58.0,7.434,1
416,416,0.7,2,3,3,0.6308370044052862,58.0,7.742,1
417,417,0.91,2,2,2,0.5916601101494885,60.0,8.294,1
418,418,0.31,1,4,5,0.6357308584686775,55.0,6.492,0
419,419,0.33,2,3,6,0.6138165345413363,60.0,6.766,1
420,420,0.34,4,1,2,0.6241610738255032,56.0,6.129,0
421,421,1.1,4,3,5,0.6047548291233283,56.0,9.129,0
422,422,0.5,2,3,2,0.6003937007874015,63.0,7.088,1
423,423,0.31,3,3,3,0.5990888382687926,59.0,6.299,1
