carat,cut,color,clarity,depth,table,price_norm_2
0.74,4,5,2,0.6168384879725085,56.0,0.1389511615605025
0.7,4,4,2,0.6187554776511831,57.0,0.13306560857113506
0.61,1,6,1,0.5976385104450499,62.0,0.11557971345147106
1.21,4,4,0,0.6202346041055719,56.0,0.14699573622131212
1.28,4,3,2,0.6219336219336219,56.0,0.15649064090350392
1.26,2,3,2,0.6326530612244898,58.0,0.15221355775861645
0.4,3,6,4,0.6247334754797442,60.0,0.11620180996323805
0.3,3,2,6,0.6271777003484321,59.0,0.10905412272559674
0.3,4,1,6,0.6127167630057804,57.0,0.11331150417435172
0.81,4,5,1,0.6208053691275167,55.0,0.14334678403180307
0.32,4,5,3,0.6270022883295194,55.0,0.11717346093339566
0.51,4,3,4,0.6236559139784946,57.0,0.1282648401019496
0.76,4,6,4,0.6165670367207514,56.0,0.14620886874163957
0.44,3,3,2,0.6095820591233436,60.0,0.11369745019918154
0.72,4,6,4,0.6144578313253011,56.0,0.14298884393602532
1.03,4,6,1,0.6283941039565554,56.0,0.1479825358128474
0.6,3,3,2,0.6176744186046511,60.0,0.12193504533132755
0.7,2,3,2,0.6295313881520779,59.0,0.12936351918072792
1.1,2,3,6,0.6138763197586727,60.0,0.14917837127595623
0.3,4,4,4,0.6129032258064516,55.0,0.1179158573881639
0.78,1,3,2,0.638888888888889,64.0,0.12023837960472222
1.13,3,3,6,0.5929721815519765,59.0,0.1508036796405999
0.56,4,6,2,0.6228571428571429,57.0,0.126828146970571
0.77,3,1,4,0.6263829787234043,55.0,0.1401292503473273
0.51,3,1,3,0.6294117647058823,55.0,0.12690232544824187
2.09,1,0,3,0.5715969357690042,64.0,0.14416288798526397
0.36,4,3,6,0.6284454244762955,57.0,0.11988094703652526
1.26,4,5,5,0.6108726752503576,57.0,0.16352881111754128
0.33,3,2,7,0.6171171171171173,59.0,0.11526713935462173
0.51,2,1,2,0.6345776031434185,55.0,0.1253763989807497
0.31,3,4,3,0.6286379511059372,59.0,0.11190823820844262
0.71,2,2,2,0.607484769364665,60.0,0.12728204549834374
0.35,3,5,2,0.6114790286975719,59.0,0.11154861645997186
0.31,4,3,6,0.6118721461187215,57.0,0.11462096399387697
0.3,3,1,4,0.6161026837806302,60.0,0.10570114106028475
0.54,4,6,3,0.6183206106870229,56.0,0.13332270395737647
0.38,4,1,3,0.6139037433155079,55.0,0.11693570822798995
1.08,2,4,6,0.609811320754717,58.0,0.1555653209863553
1.28,4,2,6,0.6165951359084405,55.0,0.16099504745605958
1.08,4,3,2,0.6184310738766184,56.0,0.1505098932327036
1.5,3,0,4,0.6284530386740331,59.0,0.1520534463046496
0.39,2,6,5,0.6135881104033969,59.0,0.11594051319812791
1.01,2,2,2,0.6259780907668231,58.0,0.14248604720985739
0.9,3,6,2,0.6216436126932465,58.0,0.14262760079447623
1.84,3,2,2,0.5966228893058161,58.0,0.16147315231158338
0.79,3,0,2,0.5914332784184514,57.0,0.13328403827290355
1.61,1,5,1,0.6094477711244178,62.0,0.14730875690982684
1.12,3,3,7,0.6087602078693393,57.0,0.15604813577615115
0.31,4,4,5,0.6115515288788222,56.0,0.1153706825953585
0.31,4,3,4,0.6102857142857143,56.0,0.11376614846838816
1.22,3,1,3,0.6287822878228781,58.0,0.1465954579965516
0.7,1,4,3,0.6286731967943009,61.0,0.1271422589283401
1.07,3,4,1,0.6183206106870228,59.0,0.14085696687973565
0.33,4,3,4,0.6136618141097425,56.0,0.1152397205969628
0.4,3,6,5,0.6071428571428572,60.0,0.11764185340342909
0.5,1,4,3,0.6329365079365079,57.0,0.12579954399975254
0.5,1,6,1,0.5852713178294574,64.0,0.10602587504238148
0.56,4,4,1,0.6133584195672624,57.0,0.12369612897592004
0.41,4,6,3,0.5973223480947476,57.0,0.12177898818717191
1.03,3,1,2,0.5842185128983308,60.0,0.1332481382794555
0.54,4,5,4,0.6257197696737044,55.0,0.13375978614224576
0.3,4,4,3,0.611111111111111,56.0,0.11704231724728618
0.9,3,3,2,0.629843363561418,58.0,0.13986000286759412
0.61,4,1,1,0.6100456621004566,57.0,0.1255231383172595
1.26,2,2,1,0.622093023255814,57.0,0.14957486857484578
1.22,3,2,4,0.5894134477825465,59.0,0.14812073877372056
0.4,3,5,3,0.592901878914405,59.0,0.11389260605689415
0.34,4,5,1,0.6126526082130965,55.0,0.1096266463579014
1.0,3,2,3,0.6044718581341558,58.0,0.14447146294727922
1.58,4,5,2,0.6099667774086378,57.0,0.16312870169300236
2.01,4,1,2,0.5986642380085003,60.0,0.15949091080899436
0.32,4,6,3,0.6103603603603605,56.0,0.11628438797146638
2.0,2,0,3,0.6082665021591609,62.0,0.15047201071548058
1.27,4,5,4,0.6178160919540229,57.0,0.16060061553804975
1.5,2,4,2,0.6337047353760445,58.0,0.15742163192716274
0.5,4,4,1,0.608357628765792,57.0,0.12266026878343973
1.51,4,1,2,0.6106973595125254,59.0,0.15048038352987056
0.62,3,3,3,0.6216955332725617,55.0,0.13439930413083204
1.68,3,0,1,0.5916398713826366,57.0,0.15437391405023856
0.52,4,3,4,0.6162679425837322,54.0,0.1354803685011854
1.01,2,5,2,0.6336477987421385,59.0,0.1419446341768022
1.28,4,3,1,0.6136200716845879,57.0,0.1496329387885385
0.5,4,2,3,0.6165853658536585,55.0,0.13235883194132067
0.66,2,3,5,0.6040386303775241,59.0,0.1285111971894431
1.01,2,4,3,0.6265624999999999,56.0,0.15292239836212976
0.31,4,3,3,0.6199770378874856,57.0,0.10910769630765105
0.31,4,4,7,0.600907029478458,57.0,0.12109962021375396
0.58,4,4,6,0.6162464985994397,57.0,0.13582262291376138
0.4,2,4,2,0.6310160427807486,58.0,0.11554717090654762
0.9,4,3,4,0.6207455429497569,56.0,0.1508385392890246
1.5,3,4,2,0.6209732693625771,60.0,0.1486940497397038
1.17,3,6,4,0.6167531504818385,59.0,0.15249792397565048
1.5,2,6,4,0.6123287671232875,63.0,0.15088903974957735
0.9,2,5,2,0.6175040518638574,60.0,0.13627185379565354
0.72,1,4,5,0.6132404181184669,65.0,0.1221822569096985
0.71,4,6,3,0.6039689387402933,57.0,0.13829909131341386
1.56,4,0,3,0.6235690235690236,57.0,0.15437360572465753
0.71,2,3,3,0.6313932980599647,54.0,0.14307363246545515
0.52,2,3,6,0.6109510086455332,58.0,0.12970574834175347
0.71,2,0,4,0.6412078152753107,58.0,0.12925863052027933
1.11,4,1,2,0.6185101580135441,57.0,0.14598015482621593
1.27,3,1,2,0.6226415094339623,56.0,0.15189243559643348
0.24,2,6,2,0.6306532663316582,55.0,0.11038728246974581
1.05,2,2,1,0.6300309597523219,59.0,0.1393917818151065
1.01,3,3,1,0.6252945797329144,60.0,0.1372817830285376
0.7,3,6,1,0.6180860403863038,55.0,0.13745096450235383
0.42,3,5,3,0.608695652173913,59.0,0.1146989403980122
0.34,4,2,6,0.6108048511576626,56.0,0.11620077466222978
1.11,4,5,1,0.6119402985074627,55.0,0.15284515869761894
1.65,2,0,2,0.6154864328259432,58.0,0.15245264241588016
0.81,2,2,4,0.6355140186915889,57.0,0.13888744092566083
0.81,4,3,5,0.6178184845961698,55.1,0.14788028329570824
1.47,0,2,0,0.6666666666666665,59.0,0.14215251231145298
2.08,3,1,1,0.6121951219512195,58.0,0.16318548427431026
1.55,4,1,3,0.6260162601626017,56.0,0.159866045259456
0.32,4,5,5,0.6133032694475761,54.0,0.12081243017854795
0.55,4,5,3,0.6197718631178707,55.0,0.1328418005638542
0.3,3,1,2,0.6161026837806302,62.0,0.09962289117879075
1.56,2,0,2,0.5957727873183619,58.0,0.15133399043015344
0.7,1,5,4,0.6099912357581069,61.0,0.1289378413468678
0.3,2,5,3,0.6146682188591386,58.0,0.1099315048193555
0.33,3,3,3,0.6004464285714285,58.0,0.11262764887802038
0.72,3,5,1,0.6175195143104943,58.0,0.13006229828113788
0.7,3,3,4,0.5927209705372617,62.0,0.12442425604853383
1.04,2,6,4,0.6231546231546231,59.0,0.14948726763892203
0.34,1,2,3,0.6316964285714285,55.0,0.11310384058371457
1.02,3,2,2,0.620203602192639,60.0,0.1392817202694471
0.31,1,5,2,0.6342592592592593,57.0,0.10917293316463897
1.12,4,5,2,0.6157303370786517,55.0,0.15601165706706785
1.0,2,2,2,0.6187845303867403,58.0,0.1445799131277357
0.33,4,3,4,0.6213151927437642,56.0,0.11439001063891717
0.55,3,3,2,0.6209523809523809,56.0,0.1266086233442717
1.2,3,2,4,0.6134699853587117,58.0,0.14903224660484946
1.51,3,3,2,0.615595075239398,59.0,0.1545670131008469
0.54,2,5,3,0.6120114394661582,58.0,0.1263439688383353
0.32,3,1,4,0.6132723112128148,58.0,0.11034136693239456
0.33,3,3,4,0.6143497757847535,59.0,0.11294781331881466
0.54,4,3,5,0.6205571565802114,56.0,0.13306653683295966
0.3,4,5,7,0.6173410404624279,55.0,0.12158869858585544
0.31,3,0,2,0.6086956521739131,60.0,0.1015131529491056
0.41,1,4,4,0.5799180327868851,61.0,0.1100193880681373
0.72,4,2,2,0.6219512195121951,58.0,0.1326868502955759
0.43,4,2,6,0.6153846153846154,56.0,0.12565537612772196
0.9,2,4,2,0.6113328012769353,56.0,0.14518553680012883
0.3,0,5,5,0.6658653846153846,54.0,0.11602485394513422
1.01,3,3,3,0.623924941360438,58.0,0.14772764573526706
1.5,3,3,1,0.6210670314637482,60.0,0.14551438225720384
0.56,3,5,3,0.6106442577030812,57.0,0.1298855681227053
0.33,4,6,2,0.6237288135593219,54.0,0.11657315696766132
0.5,2,6,4,0.6314741035856574,57.0,0.1282329005409325
1.2,3,3,4,0.6294642857142857,59.0,0.14479881962214416
0.7,2,1,2,0.6217891939769707,55.0,0.1376697690926486
0.38,4,4,4,0.6244635193133047,54.0,0.1256069485501308
0.43,4,6,2,0.6150670794633643,56.0,0.12222570975587438
0.42,4,6,5,0.6208333333333333,55.0,0.12779600413551095
0.31,4,5,3,0.6183908045977012,56.0,0.1189026744944146
1.04,2,4,1,0.6228748068006182,58.0,0.14156938859750307
1.26,4,5,2,0.6152737752161384,59.0,0.15043299725250187
0.3,4,6,2,0.6218097447795823,55.0,0.1128366682597324
1.56,3,5,3,0.614765100671141,58.0,0.15869881511927192
0.43,3,4,3,0.6096807415036045,57.0,0.1189335260229985
0.5,1,4,2,0.5955383123181377,61.0,0.11514881605933287
0.27,2,3,6,0.6280193236714975,55.0,0.11340407019921683
0.78,2,6,3,0.6224489795918368,56.0,0.14360725224650134
0.53,1,5,4,0.631782945736434,56.0,0.13131979509169392
1.06,4,3,1,0.620583717357911,58.0,0.14440193333716475
0.4,2,4,4,0.630901287553648,59.0,0.114464879297843
0.59,4,3,2,0.6347417840375587,56.0,0.1271788052908378
1.08,2,5,1,0.6348962336664103,56.0,0.14428844874507624
1.21,4,2,3,0.6282335550628233,55.0,0.15478790318785518
0.4,3,6,2,0.6165254237288135,58.0,0.11707009572384565
0.41,4,6,1,0.6259220231822973,57.0,0.11621815729419596
0.32,4,6,2,0.6271379703534778,54.0,0.12047499734796709
0.58,3,5,2,0.5847846012832264,55.0,0.12962394426961477
1.1,2,0,1,0.6182917611489039,58.0,0.1422938837836128
0.71,1,4,4,0.5804794520547946,61.0,0.12682033080039654
0.33,2,4,4,0.5911111111111111,60.0,0.10944231270230682
0.25,3,5,4,0.6153846153846155,60.0,0.09991486481762502
0.25,4,5,3,0.6188118811881189,57.0,0.10855741003990908
1.0,3,6,2,0.6251968503937009,59.0,0.14424760615979068
0.7,2,4,4,0.6278659611992945,59.0,0.13383313485586584
0.32,4,3,3,0.6141552511415526,56.0,0.11586807098730924
0.51,4,5,4,0.6269531250000001,56.0,0.13084617202811488
1.51,4,2,3,0.6224350205198358,57.0,0.1608302373290601
2.03,2,3,2,0.6127239036442249,59.0,0.16321517623738505
1.02,4,1,2,0.6201550387596899,56.0,0.14860868599019594
1.04,2,3,2,0.6180981595092025,59.0,0.1424724888830299
0.37,4,4,6,0.6152173913043479,56.0,0.11969369505787406
0.43,4,3,4,0.6185567010309279,55.0,0.12253666313435733
0.3,4,3,5,0.6180555555555555,57.0,0.11644167241396543
0.5,1,0,2,0.5963213939980639,60.0,0.11343916517656547
1.56,3,3,1,0.6171352074966533,59.0,0.15149410403501293
0.71,2,5,4,0.6214788732394366,57.0,0.13793508475843672
1.25,4,2,1,0.6150506512301013,54.0,0.15451016385468838
0.38,4,2,1,0.6119402985074628,54.0,0.11408113917219058
0.94,3,4,1,0.6224000000000001,59.0,0.13934353278128445
0.35,4,4,3,0.6142076502732241,55.0,0.11744806152030726
0.3,2,2,2,0.5868814729574222,63.0,0.09802888830134619
0.41,4,4,3,0.618448637316562,57.0,0.11685216187543311
0.31,4,3,6,0.6199770378874856,55.0,0.11902388506325379
0.32,3,4,7,0.5881032547699214,58.0,0.11810111366273936
0.36,3,2,3,0.6086956521739131,59.0,0.1105258093015127
1.54,1,2,4,0.6309362279511533,57.0,0.1598470133784762
0.41,3,5,1,0.6210526315789474,58.0,0.11106925431800753
2.01,4,3,1,0.6091743119266055,55.0,0.17373696784921355
0.66,2,2,4,0.6151079136690647,58.1,0.12885277794026423
1.02,0,1,1,0.6548672566371682,57.0,0.14277748393315337
0.52,4,2,6,0.6121270452358036,57.0,0.12914581328695188
1.01,1,3,5,0.6241134751773049,59.0,0.14812006610420103
1.59,3,2,2,0.6096752816434725,58.0,0.15401075118412874
0.6,4,3,5,0.6200551977920883,57.0,0.13365275851272623
0.26,4,5,4,0.6180048661800488,55.0,0.10929377590259372
0.42,4,1,4,0.6198347107438017,55.0,0.11918594684026965
0.8,2,0,2,0.6157718120805368,56.0,0.13589624078287985
2.01,0,0,4,0.6658163265306122,54.0,0.17357417037390913
1.76,2,0,1,0.6094750320102432,60.0,0.14967111334852615
1.63,1,4,2,0.5767741935483871,60.0,0.15233142731453664
1.24,4,0,1,0.6014285714285714,57.0,0.14633089340040356
0.58,4,3,1,0.6148148148148147,55.0,0.12814884091087184
0.74,4,3,2,0.61340206185567,57.0,0.13893882972374078
0.36,4,2,3,0.6138828633405641,57.0,0.11048885124879401
0.3,2,4,3,0.6287703016241298,57.0,0.11100205316309658
0.71,2,5,2,0.6313932980599647,58.0,0.13286430873933047
1.34,3,3,3,0.6066619418851878,59.0,0.15211881299593774
1.01,3,5,1,0.6157443491816056,58.0,0.14310842376137725
0.41,4,3,3,0.6272439281942979,56.0,0.12258938308817198
0.9,2,6,2,0.6276422764227642,59.0,0.1398766035516735
0.31,4,3,6,0.6085972850678733,56.0,0.11659544877013014
0.37,3,4,1,0.6021505376344085,60.0,0.10612410129299524
2.01,4,0,2,0.6234413965087282,57.0,0.16247392306810687
0.71,3,6,3,0.6124234470691163,59.0,0.13222667696993914
1.52,0,2,2,0.645876645876646,55.0,0.1593574321767791
2.22,3,4,1,0.591764705882353,59.0,0.15818122247143526
0.47,2,4,2,0.6112224448897795,61.0,0.11233929676505458
1.0,0,5,2,0.6634225466342255,62.0,0.13239687914629145
2.25,3,1,1,0.6189624329159213,59.0,0.155295293512826
0.55,4,0,2,0.6091081593927894,57.0,0.12136452440930189
0.38,4,3,5,0.6223175965665235,53.6,0.12517285866447675
1.51,1,3,3,0.6422145328719723,54.0,0.16980174605165527
1.21,4,1,4,0.6054913294797688,58.0,0.14808740931924294
1.0,1,5,6,0.639488409272582,59.0,0.1496886744928385
0.33,3,5,2,0.604494382022472,59.0,0.11059202565954378
1.39,3,3,2,0.6129256428075052,59.0,0.14947500741236025
1.5,2,2,1,0.6198347107438017,63.0,0.13935232210786647
0.53,4,3,4,0.6149425287356322,57.0,0.1292642448995429
0.3,3,5,2,0.6225319396051104,58.0,0.11083766826932974
0.3,3,1,5,0.6096997690531178,60.0,0.10321259925921679
0.6,4,5,3,0.6115702479338843,56.0,0.13474872954040906
0.5,3,2,1,0.6104023552502453,58.0,0.11710894193614498
0.61,4,3,4,0.6206261510128914,56.0,0.13476282331062805
0.46,4,0,6,0.625254582484725,56.0,0.121540796445989
2.01,1,2,2,0.6221945137157108,58.0,0.16468553704927547
1.07,4,1,2,0.6155015197568389,57.0,0.14935123205272471
1.01,2,2,1,0.6341463414634146,57.0,0.1416642780103728
0.41,4,3,1,0.6097814776274715,57.0,0.11658612905471373
0.45,3,5,4,0.6077235772357724,60.0,0.11744042829511184
0.42,4,1,6,0.6248693834900731,57.0,0.117050798629761
0.92,4,1,2,0.6182108626198084,57.0,0.14011304688910903
1.01,1,5,3,0.6387351778656127,59.0,0.14729106758108976
0.23,2,6,5,0.6037735849056604,59.0,0.10461465429376586
0.54,4,4,3,0.6277511961722488,57.0,0.12756925910487846
0.55,2,5,5,0.6033519553072626,56.0,0.1362457140673124
0.4,4,5,6,0.6240681576144835,57.0,0.12437909898460693
0.78,2,2,1,0.6313993174061434,56.0,0.1368078957927058
0.9,2,4,1,0.6260162601626016,56.0,0.14276204760690756
0.52,2,6,3,0.6346718903036239,57.0,0.12944864639417217
0.7,1,4,5,0.6305506216696269,58.0,0.13403878684400405
0.9,1,2,4,0.6345053147996729,59.0,0.139735958252535
0.9,1,2,2,0.6206896551724138,61.0,0.13195430604356476
1.51,1,2,2,0.6218256691832533,61.0,0.14687710865339051
1.0,1,4,2,0.6359300476947537,58.0,0.14434219708095045
1.08,4,3,3,0.6181818181818183,55.0,0.15751652073042244
1.72,1,4,2,0.6319947333772218,61.0,0.1532563384918537
0.38,4,4,1,0.6065747613997879,56.0,0.11829629875481852
0.9,1,4,3,0.6382978723404256,55.0,0.14944899943493226
0.36,2,2,3,0.6099137931034482,55.0,0.11450255794575583
0.91,4,4,1,0.6199677938808373,56.0,0.14799720003460234
0.37,3,3,2,0.6207650273224044,60.0,0.10823352843654842
0.9,3,4,1,0.6114649681528663,54.0,0.14821576930614572
0.5,4,5,3,0.6042471042471043,56.0,0.1322428198451992
1.51,4,3,5,0.6229508196721311,55.0,0.17009444388118222
0.32,4,2,3,0.6117381489841986,55.0,0.1123707762907356
0.51,2,1,3,0.632936507936508,56.0,0.12421807122305374
0.41,4,3,3,0.6267087276550999,56.0,0.12258939582422068
0.9,2,5,1,0.6415094339622641,54.0,0.14808137534886598
2.01,4,1,1,0.6209876543209877,55.0,0.1678366786399939
0.32,4,2,6,0.6194285714285714,55.0,0.12212225026972377
2.0,1,3,3,0.640960809102402,55.0,0.17420462781902568
0.91,3,6,2,0.628152969894223,57.0,0.1435689340307852
0.71,3,4,6,0.5813559322033898,58.0,0.13710284143040774
1.53,4,4,2,0.6249149081007488,57.0,0.16062918599402537
1.19,3,2,2,0.6083150984682713,59.0,0.14437573632932862
0.62,0,4,2,0.5506493506493506,66.0,0.11106415679615114
1.2,2,1,2,0.6291635825314581,57.0,0.1479587853287908
0.7,4,5,2,0.6164623467600701,56.0,0.14205453896143197
0.39,2,3,6,0.6274089935760172,58.0,0.11459507991722534
0.33,4,2,7,0.6185101580135441,55.0,0.12053820048869625
0.53,4,5,5,0.6218809980806141,54.0,0.13985123614163622
0.34,3,5,3,0.6095661846496108,59.0,0.11054751827833433
1.02,3,4,5,0.6092307692307692,59.0,0.15072938755807486
0.5,0,4,0,0.6700715015321758,57.0,0.11183225869749584
0.55,4,3,5,0.6039142590866728,56.0,0.13275740215424695
0.3,4,3,7,0.6234067207415991,55.0,0.12033782150453409
0.31,4,3,6,0.6123853211009175,56.0,0.1218405847170822
0.77,1,5,3,0.634020618556701,57.0,0.13965725551479974
0.55,1,4,2,0.6422372227579556,57.9,0.12354898796137502
0.9,1,6,3,0.6583333333333333,58.0,0.14293588325522322
0.3,3,1,4,0.5879682179341658,61.0,0.10400445716877346
1.26,3,0,2,0.6178390137781001,58.0,0.14496179918979246
0.8,4,4,3,0.6213266162888329,56.0,0.14546015533500506
0.73,3,5,2,0.6265270506108201,58.0,0.13399876008757447
0.27,2,2,5,0.6256038647342994,55.0,0.11164413357895743
0.5,2,6,2,0.6190009794319294,61.0,0.11747666627259576
1.0,2,3,1,0.6305732484076433,63.0,0.1289320918046161
0.9,0,1,5,0.6695059625212947,56.0,0.1410874558012113
0.52,4,2,4,0.620889748549323,56.0,0.12963155932068593
0.75,2,5,3,0.6037099494097808,56.0,0.14453633570875377
0.71,2,5,1,0.6194225721784777,63.0,0.12180624584666268
0.4,2,6,2,0.6305732484076433,57.0,0.11797362341246918
1.56,4,1,5,0.6212018906144497,56.0,0.16161322145839552
0.29,2,4,6,0.6233766233766235,58.0,0.11026557903371229
0.9,2,6,4,0.6303818034118603,56.0,0.15113994769943861
1.03,4,4,4,0.5899172310007524,55.0,0.15910713254158487
1.07,2,6,2,0.602102102102102,55.0,0.15477515400841657
0.28,2,5,6,0.5955967555040557,59.0,0.1077756958023938
0.59,4,3,3,0.6261682242990655,54.0,0.1350289152303038
0.9,4,6,1,0.626938775510204,57.0,0.14252678119953624
0.43,2,2,6,0.601823708206687,55.0,0.1270112527534561
2.0,2,2,2,0.632895559724828,59.0,0.1628939066894787
1.01,3,2,2,0.628930817610063,58.0,0.13732778764316253
1.33,4,3,4,0.6201550387596899,55.0,0.1645651883973287
0.31,4,6,2,0.6201372997711672,56.0,0.11459265855381999
0.41,4,5,5,0.6232948583420777,56.0,0.12470615298699236
1.51,3,1,4,0.6296296296296297,59.0,0.15250233086847487
0.3,3,1,4,0.6169965075669382,58.0,0.10926521427717004
0.4,1,0,4,0.6335135135135136,58.0,0.11002998032271079
1.04,0,3,4,0.6493301812450748,58.0,0.14642732379530266
2.33,3,0,2,0.5994236311239193,59.0,0.15978292307213368
0.35,4,6,3,0.609271523178808,57.0,0.11582643320335217
1.26,3,1,1,0.6010064701653486,59.0,0.14284364091975355
0.4,3,6,3,0.6174920969441517,59.0,0.11603540871032558
0.71,1,1,5,0.6366047745358091,56.0,0.13594675973156897
0.71,3,5,6,0.6273127753303964,60.0,0.13448379909521613
1.12,4,4,5,0.6142322097378276,57.0,0.1571775395800261
1.74,4,0,4,0.6112531969309463,56.0,0.1629663351844486
0.73,3,5,3,0.6196213425129088,57.0,0.13708129272863498
0.71,4,4,1,0.6135181975736569,55.0,0.13997493065674088
0.4,4,5,3,0.6113445378151261,56.0,0.11967940082377841
0.41,2,2,2,0.6,61.0,0.10605764786770532
0.38,3,4,6,0.592050209205021,58.0,0.12083741379306762
1.33,1,1,4,0.6368876080691643,56.0,0.1552488156844073
0.4,4,3,6,0.6176470588235294,53.0,0.12867679602040885
0.7,2,1,6,0.6289752650176679,58.0,0.13272842264982673
0.37,4,3,7,0.6047008547008548,56.0,0.11949791109581066
0.59,3,4,2,0.6224299065420561,60.0,0.12594207778452154
0.54,3,4,2,0.6233269598470362,58.0,0.12637430013149334
0.7,2,3,3,0.6308370044052862,58.0,0.1316415883238322
0.91,2,2,2,0.5916601101494885,60.0,0.13644928754955057
0.31,1,4,5,0.6357308584686775,55.0,0.1162303088630837
0.33,2,3,6,0.6138165345413363,60.0,0.11114604255399098
0.34,4,1,2,0.6241610738255032,56.0,0.10826776076561168
1.1,4,3,5,0.6047548291233283,56.0,0.15927683376533913
0.5,2,3,2,0.6003937007874015,63.0,0.1114073964314715
0.31,3,3,3,0.5990888382687926,59.0,0.10560185195348157
0.27,2,6,4,0.6319612590799031,55.0,0.10999875358487257
0.31,3,1,2,0.6231386025200458,58.0,0.10736596590245114
0.5,1,4,3,0.6277665995975854,61.0,0.11786519579679688
1.26,3,3,1,0.5912305516265912,59.0,0.14490324245380962
1.41,1,2,3,0.6384180790960451,60.0,0.14986347822244306
0.58,4,4,4,0.6120930232558139,57.0,0.13080337833976963
0.53,3,6,2,0.6142034548944337,58.0,0.12471168160055787
0.72,2,1,1,0.6338893766461808,56.0,0.1332778300810778
0.32,4,0,3,0.6224256292906178,57.0,0.10368736498112378
0.3,2,2,3,0.6258823529411766,58.0,0.10517777244232977
1.31,4,3,4,0.6186440677966102,56.0,0.16102777780541
0.53,4,2,2,0.626204238921002,56.0,0.12303739864634629
0.34,3,3,2,0.5973451327433629,59.0,0.10862351434881118
