,carat,cut,color,clarity,depth,table,price
41,1.0,1,2,2,0.648605577689243,56.0,8.361
42,0.37,4,6,3,0.6125541125541126,56.0,7.025
43,0.3,4,5,6,0.6137931034482759,56.0,6.797
44,1.7,2,0,2,0.618516086671044,59.0,9.09
45,0.32,4,1,3,0.6300114547537228,55.0,6.356
46,0.54,3,5,4,0.6269531250000001,60.0,7.866
47,0.34,4,3,4,0.605060506050605,57.0,6.579
48,1.22,4,2,2,0.6194302410518626,55.0,8.971
49,0.7,2,6,4,0.6124234470691163,56.0,8.179
50,1.22,3,4,2,0.6179693206720234,59.0,8.837
51,1.61,3,6,2,0.5903141361256544,60.0,9.412
52,0.71,2,5,3,0.6252189141856391,58.0,8.115
53,0.32,2,1,2,0.6238738738738739,58.0,5.961
54,0.54,4,5,2,0.6152380952380953,55.0,7.483
55,1.0,4,1,1,0.6252945797329144,56.0,8.094
56,0.3,3,3,4,0.6178861788617886,60.0,6.654
57,1.0,2,4,1,0.6340694006309148,55.0,8.302
58,0.38,4,5,7,0.627155172413793,55.0,7.268
59,0.42,4,5,3,0.6206896551724138,56.0,6.931
60,0.74,4,5,2,0.6168384879725085,56.0,7.93
61,0.7,4,4,2,0.6187554776511831,57.0,7.71
62,0.61,1,6,1,0.5976385104450499,62.0,7.261
63,1.21,4,4,0,0.6202346041055719,56.0,8.384
64,1.28,4,3,2,0.6219336219336219,56.0,8.936
65,1.26,2,3,2,0.6326530612244898,58.0,8.976
66,0.4,3,6,4,0.6247334754797442,60.0,7.09
67,0.3,3,2,6,0.6271777003484321,59.0,6.528
68,0.3,4,1,6,0.6127167630057804,57.0,6.564
69,0.81,4,5,1,0.6208053691275167,55.0,8.039
70,0.32,4,5,3,0.6270022883295194,55.0,6.554
71,0.51,4,3,4,0.6236559139784946,57.0,7.432
72,0.76,4,6,4,0.6165670367207514,56.0,8.384
73,0.44,3,3,2,0.6095820591233436,60.0,6.898
74,0.72,4,6,4,0.6144578313253011,56.0,8.195
75,1.03,4,6,1,0.6283941039565554,56.0,8.469
76,0.6,3,3,2,0.6176744186046511,60.0,7.406
77,0.7,2,3,2,0.6295313881520779,59.0,7.73
78,1.1,2,3,6,0.6138763197586727,60.0,9.133
79,0.3,4,4,4,0.6129032258064516,55.0,6.594
80,0.78,1,3,2,0.638888888888889,64.0,7.777
81,1.13,3,3,6,0.5929721815519765,59.0,9.09
82,0.56,4,6,2,0.6228571428571429,57.0,7.364
83,0.77,3,1,4,0.6263829787234043,55.0,7.834
84,0.51,3,1,3,0.6294117647058823,55.0,7.072
85,2.09,1,0,3,0.5715969357690042,64.0,9.357
86,0.36,4,3,6,0.6284454244762955,57.0,6.959
87,1.26,4,5,5,0.6108726752503576,57.0,9.568
88,0.33,3,2,7,0.6171171171171173,59.0,6.918
89,0.51,2,1,2,0.6345776031434185,55.0,6.974
90,0.31,3,4,3,0.6286379511059372,59.0,6.687
91,0.71,2,2,2,0.607484769364665,60.0,7.726
92,0.35,3,5,2,0.6114790286975719,59.0,6.669
93,0.31,4,3,6,0.6118721461187215,57.0,6.649
94,0.3,3,1,4,0.6161026837806302,60.0,6.41
95,0.54,4,6,3,0.6183206106870229,56.0,7.621
96,0.38,4,1,3,0.6139037433155079,55.0,6.515
97,1.08,2,4,6,0.609811320754717,58.0,9.231
98,1.28,4,2,6,0.6165951359084405,55.0,9.078
99,1.08,4,3,2,0.6184310738766184,56.0,8.585
100,1.5,3,0,4,0.6284530386740331,59.0,9.131
101,0.39,2,6,5,0.6135881104033969,59.0,6.962
102,1.01,2,2,2,0.6259780907668231,58.0,8.382
103,0.9,3,6,2,0.6216436126932465,58.0,8.436
104,1.84,3,2,2,0.5966228893058161,58.0,9.54
105,0.79,3,0,2,0.5914332784184514,57.0,7.696
106,1.61,1,5,1,0.6094477711244178,62.0,9.287
107,1.12,3,3,7,0.6087602078693393,57.0,9.119
108,0.31,4,4,5,0.6115515288788222,56.0,6.574
109,0.31,4,3,4,0.6102857142857143,56.0,6.465
110,1.22,3,1,3,0.6287822878228781,58.0,8.639
111,0.7,1,4,3,0.6286731967943009,61.0,7.86
112,1.07,3,4,1,0.6183206106870228,59.0,8.443
113,0.33,4,3,4,0.6136618141097425,56.0,6.55
114,0.4,3,6,5,0.6071428571428572,60.0,7.188
115,0.5,1,4,3,0.6329365079365079,57.0,7.27
116,0.5,1,6,1,0.5852713178294574,64.0,6.865
117,0.56,4,4,1,0.6133584195672624,57.0,7.154
118,0.41,4,6,3,0.5973223480947476,57.0,7.071
119,1.03,3,1,2,0.5842185128983308,60.0,8.098
120,0.54,4,5,4,0.6257197696737044,55.0,7.508
121,0.3,4,4,3,0.611111111111111,56.0,6.654
122,0.9,3,3,2,0.629843363561418,58.0,8.236
123,0.61,4,1,1,0.6100456621004566,57.0,7.245
124,1.26,2,2,1,0.622093023255814,57.0,8.655
125,1.22,3,2,4,0.5894134477825465,59.0,8.893
126,0.4,3,5,3,0.592901878914405,59.0,6.816
127,0.34,4,5,1,0.6126526082130965,55.0,6.118
128,1.0,3,2,3,0.6044718581341558,58.0,8.514
129,1.58,4,5,2,0.6099667774086378,57.0,9.515
130,2.01,4,1,2,0.5986642380085003,60.0,9.748
131,0.32,4,6,3,0.6103603603603605,56.0,6.631
132,2.0,2,0,3,0.6082665021591609,62.0,9.476
133,1.27,4,5,4,0.6178160919540229,57.0,9.379
134,1.5,2,4,2,0.6337047353760445,58.0,9.302
135,0.5,4,4,1,0.608357628765792,57.0,7.093
136,1.51,4,1,2,0.6106973595125254,59.0,9.029
137,0.62,3,3,3,0.6216955332725617,55.0,7.508
138,1.68,3,0,1,0.5916398713826366,57.0,8.943
139,0.52,4,3,4,0.6162679425837322,54.0,7.451
140,1.01,2,5,2,0.6336477987421385,59.0,8.518
141,1.28,4,3,1,0.6136200716845879,57.0,8.681
142,0.5,4,2,3,0.6165853658536585,55.0,7.394
143,0.66,2,3,5,0.6040386303775241,59.0,7.701
144,1.01,2,4,3,0.6265624999999999,56.0,8.726
145,0.31,4,3,3,0.6199770378874856,57.0,6.299
146,0.31,4,4,7,0.600907029478458,57.0,7.052
147,0.58,4,4,6,0.6162464985994397,57.0,7.911
148,0.4,2,4,2,0.6310160427807486,58.0,6.782
149,0.9,4,3,4,0.6207455429497569,56.0,8.62
150,1.5,3,4,2,0.6209732693625771,60.0,9.079
151,1.17,3,6,4,0.6167531504818385,59.0,9.204
152,1.5,2,6,4,0.6123287671232875,63.0,9.705
153,0.9,2,5,2,0.6175040518638574,60.0,8.307
154,0.72,1,4,5,0.6132404181184669,65.0,8.054
155,0.71,4,6,3,0.6039689387402933,57.0,8.05
156,1.56,4,0,3,0.6235690235690236,57.0,8.963
157,0.71,2,3,3,0.6313932980599647,54.0,7.853
158,0.52,2,3,6,0.6109510086455332,58.0,7.656
159,0.71,2,0,4,0.6412078152753107,58.0,7.597
160,1.11,4,1,2,0.6185101580135441,57.0,8.457
161,1.27,3,1,2,0.6226415094339623,56.0,8.646
162,0.24,2,6,2,0.6306532663316582,55.0,6.163
163,1.05,2,2,1,0.6300309597523219,59.0,8.333
164,1.01,3,3,1,0.6252945797329144,60.0,8.354
165,0.7,3,6,1,0.6180860403863038,55.0,7.706
166,0.42,3,5,3,0.608695652173913,59.0,6.865
167,0.34,4,2,6,0.6108048511576626,56.0,6.621
168,1.11,4,5,1,0.6119402985074627,55.0,8.586
169,1.65,2,0,2,0.6154864328259432,58.0,8.98
170,0.81,2,2,4,0.6355140186915889,57.0,8.04
171,0.81,4,3,5,0.6178184845961698,55.1,8.325
172,1.47,0,2,0,0.6666666666666665,59.0,8.497
173,2.08,3,1,1,0.6121951219512195,58.0,9.637
174,1.55,4,1,3,0.6260162601626017,56.0,9.131
175,0.32,4,5,5,0.6133032694475761,54.0,6.658
176,0.55,4,5,3,0.6197718631178707,55.0,7.447
177,0.3,3,1,2,0.6161026837806302,62.0,6.227
178,1.56,2,0,2,0.5957727873183619,58.0,8.912
179,0.7,1,5,4,0.6099912357581069,61.0,7.99
180,0.3,2,5,3,0.6146682188591386,58.0,6.461
181,0.33,3,3,3,0.6004464285714285,58.0,6.611
182,0.72,3,5,1,0.6175195143104943,58.0,7.662
183,0.7,3,3,4,0.5927209705372617,62.0,7.822
184,1.04,2,6,4,0.6231546231546231,59.0,9.011
185,0.34,1,2,3,0.6316964285714285,55.0,6.286
186,1.02,3,2,2,0.620203602192639,60.0,8.476
187,0.31,1,5,2,0.6342592592592593,57.0,6.299
188,1.12,4,5,2,0.6157303370786517,55.0,8.773
189,1.0,2,2,2,0.6187845303867403,58.0,8.508
190,0.33,4,3,4,0.6213151927437642,56.0,6.501
191,0.55,3,3,2,0.6209523809523809,56.0,7.186
192,1.2,3,2,4,0.6134699853587117,58.0,8.799
193,1.51,3,3,2,0.615595075239398,59.0,9.282
194,0.54,2,5,3,0.6120114394661582,58.0,7.442
195,0.32,3,1,4,0.6132723112128148,58.0,6.474
196,0.33,3,3,4,0.6143497757847535,59.0,6.75
197,0.54,4,3,5,0.6205571565802114,56.0,7.593
198,0.3,4,5,7,0.6173410404624279,55.0,6.849
199,0.31,3,0,2,0.6086956521739131,60.0,6.142
200,0.41,1,4,4,0.5799180327868851,61.0,6.792
201,0.72,4,2,2,0.6219512195121951,58.0,7.807
202,0.43,4,2,6,0.6153846153846154,56.0,7.169
203,0.9,2,4,2,0.6113328012769353,56.0,8.267
204,0.3,0,5,5,0.6658653846153846,54.0,6.373
205,1.01,3,3,3,0.623924941360438,58.0,8.717
206,1.5,3,3,1,0.6210670314637482,60.0,8.868
207,0.56,3,5,3,0.6106442577030812,57.0,7.53
208,0.33,4,6,2,0.6237288135593219,54.0,6.41
209,0.5,2,6,4,0.6314741035856574,57.0,7.447
210,1.2,3,3,4,0.6294642857142857,59.0,8.695
211,0.7,2,1,2,0.6217891939769707,55.0,7.672
212,0.38,4,4,4,0.6244635193133047,54.0,6.906
213,0.43,4,6,2,0.6150670794633643,56.0,6.97
214,0.42,4,6,5,0.6208333333333333,55.0,7.19
215,0.31,4,5,3,0.6183908045977012,56.0,6.771
216,1.04,2,4,1,0.6228748068006182,58.0,8.338
217,1.26,4,5,2,0.6152737752161384,59.0,9.056
218,0.3,4,6,2,0.6218097447795823,55.0,6.314
219,1.56,3,5,3,0.614765100671141,58.0,9.406
220,0.43,3,4,3,0.6096807415036045,57.0,6.875
221,0.5,1,4,2,0.5955383123181377,61.0,7.102
222,0.27,2,3,6,0.6280193236714975,55.0,6.339
223,0.78,2,6,3,0.6224489795918368,56.0,8.207
224,0.53,1,5,4,0.631782945736434,56.0,7.482
225,1.06,4,3,1,0.620583717357911,58.0,8.515
226,0.4,2,4,4,0.630901287553648,59.0,6.844
227,0.59,4,3,2,0.6347417840375587,56.0,7.227
228,1.08,2,5,1,0.6348962336664103,56.0,8.223
229,1.21,4,2,3,0.6282335550628233,55.0,8.68
230,0.4,3,6,2,0.6165254237288135,58.0,6.898
231,0.41,4,6,1,0.6259220231822973,57.0,6.735
232,0.32,4,6,2,0.6271379703534778,54.0,6.628
233,0.58,3,5,2,0.5847846012832264,55.0,7.249
234,1.1,2,0,1,0.6182917611489039,58.0,8.362
235,0.71,1,4,4,0.5804794520547946,61.0,7.847
236,0.33,2,4,4,0.5911111111111111,60.0,6.649
237,0.25,3,5,4,0.6153846153846155,60.0,6.075
238,0.25,4,5,3,0.6188118811881189,57.0,6.282
239,1.0,3,6,2,0.6251968503937009,59.0,8.679
240,0.7,2,4,4,0.6278659611992945,59.0,8.024
241,0.32,4,3,3,0.6141552511415526,56.0,6.579
242,0.51,4,5,4,0.6269531250000001,56.0,7.472
243,1.51,4,2,3,0.6224350205198358,57.0,9.354
244,2.03,2,3,2,0.6127239036442249,59.0,9.812
245,1.02,4,1,2,0.6201550387596899,56.0,8.463
246,1.04,2,3,2,0.6180981595092025,59.0,8.531
247,0.37,4,4,6,0.6152173913043479,56.0,6.836
248,0.43,4,3,4,0.6185567010309279,55.0,6.849
249,0.3,4,3,5,0.6180555555555555,57.0,6.745
250,0.5,1,0,2,0.5963213939980639,60.0,6.866
251,1.56,3,3,1,0.6171352074966533,59.0,9.089
252,0.71,2,5,4,0.6214788732394366,57.0,8.009
253,1.25,4,2,1,0.6150506512301013,54.0,8.497
254,0.38,4,2,1,0.6119402985074628,54.0,6.234
255,0.94,3,4,1,0.6224000000000001,59.0,8.35
256,0.35,4,4,3,0.6142076502732241,55.0,6.56
257,0.3,2,2,2,0.5868814729574222,63.0,6.223
258,0.41,4,4,3,0.618448637316562,57.0,6.76
259,0.31,4,3,6,0.6199770378874856,55.0,6.671
260,0.32,3,4,7,0.5881032547699214,58.0,6.985
261,0.36,3,2,3,0.6086956521739131,59.0,6.592
262,1.54,1,2,4,0.6309362279511533,57.0,9.284
263,0.41,3,5,1,0.6210526315789474,58.0,6.526
264,2.01,4,3,1,0.6091743119266055,55.0,9.776
265,0.66,2,2,4,0.6151079136690647,58.1,7.59
266,1.02,0,1,1,0.6548672566371682,57.0,8.243
267,0.52,4,2,6,0.6121270452358036,57.0,7.501
268,1.01,1,3,5,0.6241134751773049,59.0,8.9
269,1.59,3,2,2,0.6096752816434725,58.0,9.086
270,0.6,4,3,5,0.6200551977920883,57.0,7.761
271,0.26,4,5,4,0.6180048661800488,55.0,6.114
272,0.42,4,1,4,0.6198347107438017,55.0,6.65
273,0.8,2,0,2,0.6157718120805368,56.0,7.707
274,2.01,0,0,4,0.6658163265306122,54.0,9.575
275,1.76,2,0,1,0.6094750320102432,60.0,9.111
276,1.63,1,4,2,0.5767741935483871,60.0,9.297
277,1.24,4,0,1,0.6014285714285714,57.0,8.473
278,0.58,4,3,1,0.6148148148148147,55.0,7.151
279,0.74,4,3,2,0.61340206185567,57.0,8.049
280,0.36,4,2,3,0.6138828633405641,57.0,6.375
281,0.3,2,4,3,0.6287703016241298,57.0,6.405
282,0.71,2,5,2,0.6313932980599647,58.0,7.828
283,1.34,3,3,3,0.6066619418851878,59.0,9.137
284,1.01,3,5,1,0.6157443491816056,58.0,8.448
285,0.41,4,3,3,0.6272439281942979,56.0,6.967
286,0.9,2,6,2,0.6276422764227642,59.0,8.404
287,0.31,4,3,6,0.6085972850678733,56.0,6.649
288,0.37,3,4,1,0.6021505376344085,60.0,6.436
289,2.01,4,0,2,0.6234413965087282,57.0,9.442
290,0.71,3,6,3,0.6124234470691163,59.0,7.946
291,1.52,0,2,2,0.645876645876646,55.0,8.914
292,2.22,3,4,1,0.591764705882353,59.0,9.514
293,0.47,2,4,2,0.6112224448897795,61.0,6.929
294,1.0,0,5,2,0.6634225466342255,62.0,8.328
295,2.25,3,1,1,0.6189624329159213,59.0,9.316
296,0.55,4,0,2,0.6091081593927894,57.0,7.003
297,0.38,4,3,5,0.6223175965665235,53.6,6.834
298,1.51,1,3,3,0.6422145328719723,54.0,9.362
299,1.21,4,1,4,0.6054913294797688,58.0,8.747
300,1.0,1,5,6,0.639488409272582,59.0,9.031
301,0.33,3,5,2,0.604494382022472,59.0,6.611
302,1.39,3,3,2,0.6129256428075052,59.0,8.968
303,1.5,2,2,1,0.6198347107438017,63.0,8.894
304,0.53,4,3,4,0.6149425287356322,57.0,7.491
305,0.3,3,5,2,0.6225319396051104,58.0,6.515
306,0.3,3,1,5,0.6096997690531178,60.0,6.265
307,0.6,4,5,3,0.6115702479338843,56.0,7.691
308,0.5,3,2,1,0.6104023552502453,58.0,6.865
309,0.61,4,3,4,0.6206261510128914,56.0,7.681
310,0.46,4,0,6,0.625254582484725,56.0,6.926
311,2.01,1,2,2,0.6221945137157108,58.0,9.725
312,1.07,4,1,2,0.6155015197568389,57.0,8.657
313,1.01,2,2,1,0.6341463414634146,57.0,8.186
314,0.41,4,3,1,0.6097814776274715,57.0,6.729
315,0.45,3,5,4,0.6077235772357724,60.0,7.156
316,0.42,4,1,6,0.6248693834900731,57.0,6.784
317,0.92,4,1,2,0.6182108626198084,57.0,8.109
318,1.01,1,5,3,0.6387351778656127,59.0,8.849
319,0.23,2,6,5,0.6037735849056604,59.0,6.273
320,0.54,4,4,3,0.6277511961722488,57.0,7.391
321,0.55,2,5,5,0.6033519553072626,56.0,7.783
322,0.4,4,5,6,0.6240681576144835,57.0,7.242
323,0.78,2,2,1,0.6313993174061434,56.0,7.761
324,0.9,2,4,1,0.6260162601626016,56.0,8.122
325,0.52,2,6,3,0.6346718903036239,57.0,7.511
326,0.7,1,4,5,0.6305506216696269,58.0,7.909
327,0.9,1,2,4,0.6345053147996729,59.0,8.368
328,0.9,1,2,2,0.6206896551724138,61.0,8.145
329,1.51,1,2,2,0.6218256691832533,61.0,9.089
330,1.0,1,4,2,0.6359300476947537,58.0,8.505
331,1.08,4,3,3,0.6181818181818183,55.0,8.844
332,1.72,1,4,2,0.6319947333772218,61.0,9.51
333,0.38,4,4,1,0.6065747613997879,56.0,6.718
334,0.9,1,4,3,0.6382978723404256,55.0,8.368
335,0.36,2,2,3,0.6099137931034482,55.0,6.368
336,0.91,4,4,1,0.6199677938808373,56.0,8.443
337,0.37,3,3,2,0.6207650273224044,60.0,6.562
338,0.9,3,4,1,0.6114649681528663,54.0,8.148
339,0.5,4,5,3,0.6042471042471043,56.0,7.545
340,1.51,4,3,5,0.6229508196721311,55.0,9.599
341,0.32,4,2,3,0.6117381489841986,55.0,6.26
342,0.51,2,1,3,0.632936507936508,56.0,7.039
343,0.41,4,3,3,0.6267087276550999,56.0,6.967
344,0.9,2,5,1,0.6415094339622641,54.0,8.146
345,2.01,4,1,1,0.6209876543209877,55.0,9.421
346,0.32,4,2,6,0.6194285714285714,55.0,6.842
347,2.0,1,3,3,0.640960809102402,55.0,9.792
348,0.91,3,6,2,0.628152969894223,57.0,8.349
349,0.71,3,4,6,0.5813559322033898,58.0,8.116
350,1.53,4,4,2,0.6249149081007488,57.0,9.352
351,1.19,3,2,2,0.6083150984682713,59.0,8.648
352,0.62,0,4,2,0.5506493506493506,66.0,7.403
353,1.2,2,1,2,0.6291635825314581,57.0,8.559
354,0.7,4,5,2,0.6164623467600701,56.0,8.111
355,0.39,2,3,6,0.6274089935760172,58.0,6.75
356,0.33,4,2,7,0.6185101580135441,55.0,6.766
357,0.53,4,5,5,0.6218809980806141,54.0,7.729
358,0.34,3,5,3,0.6095661846496108,59.0,6.613
359,1.02,3,4,5,0.6092307692307692,59.0,9.08
360,0.5,0,4,0,0.6700715015321758,57.0,6.441
361,0.55,4,3,5,0.6039142590866728,56.0,7.575
362,0.3,4,3,7,0.6234067207415991,55.0,6.76
363,0.31,4,3,6,0.6123853211009175,56.0,6.953
364,0.77,1,5,3,0.634020618556701,57.0,8.099
365,0.55,1,4,2,0.6422372227579556,57.9,7.244
366,0.9,1,6,3,0.6583333333333333,58.0,8.451
367,0.3,3,1,4,0.5879682179341658,61.0,6.41
368,1.26,3,0,2,0.6178390137781001,58.0,8.533
369,0.8,4,4,3,0.6213266162888329,56.0,8.305
370,0.73,3,5,2,0.6265270506108201,58.0,7.902
371,0.27,2,2,5,0.6256038647342994,55.0,6.223
372,0.5,2,6,2,0.6190009794319294,61.0,7.27
373,1.0,2,3,1,0.6305732484076433,63.0,8.22
374,0.9,0,1,5,0.6695059625212947,56.0,8.031
375,0.52,4,2,4,0.620889748549323,56.0,7.377
376,0.75,2,5,3,0.6037099494097808,56.0,8.247
377,0.71,2,5,1,0.6194225721784777,63.0,7.773
378,0.4,2,6,2,0.6305732484076433,57.0,6.829
379,1.56,4,1,5,0.6212018906144497,56.0,9.257
380,0.29,2,4,6,0.6233766233766235,58.0,6.498
381,0.9,2,6,4,0.6303818034118603,56.0,8.658
382,1.03,4,4,4,0.5899172310007524,55.0,8.956
383,1.07,2,6,2,0.602102102102102,55.0,8.7
384,0.28,2,5,6,0.5955967555040557,59.0,6.465
385,0.59,4,3,3,0.6261682242990655,54.0,7.417
386,0.9,4,6,1,0.626938775510204,57.0,8.292
387,0.43,2,2,6,0.601823708206687,55.0,7.107
388,2.0,2,2,2,0.632895559724828,59.0,9.785
389,1.01,3,2,2,0.628930817610063,58.0,8.078
390,1.33,4,3,4,0.6201550387596899,55.0,9.263
391,0.31,4,6,2,0.6201372997711672,56.0,6.528
392,0.41,4,5,5,0.6232948583420777,56.0,7.125
393,1.51,3,1,4,0.6296296296296297,59.0,9.16
394,0.3,3,1,4,0.6169965075669382,58.0,6.41
395,0.4,1,0,4,0.6335135135135136,58.0,6.447
396,1.04,0,3,4,0.6493301812450748,58.0,8.636
397,2.33,3,0,2,0.5994236311239193,59.0,9.596
398,0.35,4,6,3,0.609271523178808,57.0,6.72
399,1.26,3,1,1,0.6010064701653486,59.0,8.547
400,0.4,3,6,3,0.6174920969441517,59.0,6.957
401,0.71,1,1,5,0.6366047745358091,56.0,7.733
402,0.71,3,5,6,0.6273127753303964,60.0,8.237
403,1.12,4,4,5,0.6142322097378276,57.0,9.173
404,1.74,4,0,4,0.6112531969309463,56.0,9.323
405,0.73,3,5,3,0.6196213425129088,57.0,7.956
406,0.71,4,4,1,0.6135181975736569,55.0,7.834
407,0.4,4,5,3,0.6113445378151261,56.0,6.816
408,0.41,2,2,2,0.6,61.0,6.526
409,0.38,3,4,6,0.592050209205021,58.0,7.136
410,1.33,1,1,4,0.6368876080691643,56.0,8.848
411,0.4,4,3,6,0.6176470588235294,53.0,6.965
412,0.7,2,1,6,0.6289752650176679,58.0,7.829
413,0.37,4,3,7,0.6047008547008548,56.0,6.831
414,0.59,3,4,2,0.6224299065420561,60.0,7.661
415,0.54,3,4,2,0.6233269598470362,58.0,7.434
416,0.7,2,3,3,0.6308370044052862,58.0,7.742
417,0.91,2,2,2,0.5916601101494885,60.0,8.294
418,0.31,1,4,5,0.6357308584686775,55.0,6.492
419,0.33,2,3,6,0.6138165345413363,60.0,6.766
420,0.34,4,1,2,0.6241610738255032,56.0,6.129
421,1.1,4,3,5,0.6047548291233283,56.0,9.129
422,0.5,2,3,2,0.6003937007874015,63.0,7.088
423,0.31,3,3,3,0.5990888382687926,59.0,6.299
424,0.27,2,6,4,0.6319612590799031,55.0,6.153
425,0.31,3,1,2,0.6231386025200458,58.0,6.286
426,0.5,1,4,3,0.6277665995975854,61.0,7.277
427,1.26,3,3,1,0.5912305516265912,59.0,8.683
428,1.41,1,2,3,0.6384180790960451,60.0,9.133
429,0.58,4,4,4,0.6120930232558139,57.0,7.59
430,0.53,3,6,2,0.6142034548944337,58.0,7.356
431,0.72,2,1,1,0.6338893766461808,56.0,7.553
432,0.32,4,0,3,0.6224256292906178,57.0,5.974
433,0.3,2,2,3,0.6258823529411766,58.0,6.159
434,1.31,4,3,4,0.6186440677966102,56.0,9.22
435,0.53,4,2,2,0.626204238921002,56.0,6.982
436,0.34,3,3,2,0.5973451327433629,59.0,6.477
437,1.0,2,5,2,0.6012364760432766,60.0,8.677
438,0.53,4,5,1,0.6081982840800763,57.0,7.114
439,0.5,4,2,3,0.6061776061776062,56.0,7.277
440,1.43,3,6,3,0.6263888888888889,59.0,9.538
441,0.52,3,4,0,0.6297376093294461,56.0,6.768
442,0.3,2,1,2,0.6254375729288215,57.0,5.945
443,0.41,1,2,3,0.6410256410256411,57.0,6.592
444,0.7,1,6,3,0.5802575107296137,62.0,7.919
445,0.93,3,4,1,0.5945098039215686,60.0,8.194
446,0.52,4,0,2,0.622568093385214,56.0,7.241
447,0.9,1,4,2,0.6356968215158925,55.0,8.458
448,1.0,0,3,0,0.6499189627228524,56.0,7.782
449,1.09,4,0,3,0.6203773584905661,54.0,8.38
450,0.5,2,6,3,0.5906040268456376,59.0,7.44
451,0.36,3,6,3,0.6177437020810516,58.0,6.748
452,0.56,3,6,1,0.6043030869971936,58.0,7.236
453,0.43,3,6,3,0.5967413441955194,59.0,6.87
454,0.4,4,0,2,0.6174920969441519,56.0,6.417
455,1.3,1,0,2,0.64,58.0,8.564
456,0.41,2,6,4,0.6171548117154813,58.0,6.926
457,0.33,1,1,2,0.6356413166855847,57.0,6.098
458,0.7,4,3,3,0.6159230096237971,56.0,8.146
459,0.3,3,4,3,0.6162790697674418,58.0,6.405
460,0.3,3,6,3,0.6276346604215458,59.0,6.815
461,1.73,4,1,3,0.6099290780141845,56.0,9.508
462,0.28,4,3,4,0.6210153482880756,55.0,6.194
463,1.02,3,3,2,0.609907120743034,59.0,8.441
464,0.93,4,5,2,0.6204146730462521,56.0,8.338
465,0.5,2,4,3,0.6304347826086957,57.0,7.148
466,1.19,4,0,1,0.6168498168498169,56.0,8.414
467,0.24,4,3,7,0.6127023661270236,57.0,6.326
468,0.75,3,5,1,0.6188034188034188,57.0,7.948
469,1.09,4,6,1,0.6168929110105581,59.0,8.596
470,0.37,4,2,2,0.5970149253731344,56.0,6.279
471,0.7,4,3,2,0.6237885462555065,56.0,7.815
472,1.51,4,3,4,0.6159075458871516,56.0,9.594
473,0.52,4,3,5,0.6270691333982474,55.0,7.553
474,0.43,4,3,5,0.6092307692307692,57.0,6.962
475,0.3,4,5,5,0.6091954022988506,57.0,6.73
476,0.9,1,4,3,0.6359901396877568,59.0,8.351
477,1.99,0,2,3,0.6045370938074801,63.0,9.782
478,0.33,3,3,3,0.5933333333333333,61.0,6.611
479,0.41,1,4,5,0.5923632610939112,63.0,7.048
480,0.5,4,5,3,0.6225296442687747,57.0,7.352
481,0.7,4,3,4,0.6141732283464567,57.0,8.018
482,1.5,3,4,4,0.6218256691832533,60.0,9.662
