carat,cut,color,clarity,depth,table,price_SQRT
0.3,4,4,3,0.611111111111111,56.0,2.5795348417883406
0.9,3,3,2,0.629843363561418,58.0,2.8698432012916664
0.61,4,1,1,0.6100456621004566,57.0,2.691653766738954
1.26,2,2,1,0.622093023255814,57.0,2.94193813667113
1.22,3,2,4,0.5894134477825465,59.0,2.982113344593059
0.4,3,5,3,0.592901878914405,59.0,2.610747019532915
0.34,4,5,1,0.6126526082130965,55.0,2.4734591162984683
1.0,3,2,3,0.6044718581341558,58.0,2.9178759397890786
1.58,4,5,2,0.6099667774086378,57.0,3.0846393630374362
2.01,4,1,2,0.5986642380085003,60.0,3.1221787264665037
0.32,4,6,3,0.6103603603603605,56.0,2.5750728145044754
2.0,2,0,3,0.6082665021591609,62.0,3.078311225331188
1.27,4,5,4,0.6178160919540229,57.0,3.0625153060841996
1.5,2,4,2,0.6337047353760445,58.0,3.0499180316854417
0.5,4,4,1,0.608357628765792,57.0,2.663268668384773
1.51,4,1,2,0.6106973595125254,59.0,3.0048294460751013
0.62,3,3,3,0.6216955332725617,55.0,2.740072991728505
1.68,3,0,1,0.5916398713826366,57.0,2.9904849105120057
0.52,4,3,4,0.6162679425837322,54.0,2.729651992470835
1.01,2,5,2,0.6336477987421385,59.0,2.9185612894027084
1.28,4,3,1,0.6136200716845879,57.0,2.9463536787018625
0.5,4,2,3,0.6165853658536585,55.0,2.719191056178289
0.66,2,3,5,0.6040386303775241,59.0,2.775067566744997
1.01,2,4,3,0.6265624999999999,56.0,2.9539803655407058
0.31,4,3,3,0.6199770378874856,57.0,2.5097808669284256
0.31,4,4,7,0.600907029478458,57.0,2.655560204551951
0.58,4,4,6,0.6162464985994397,57.0,2.8126499960002134
0.4,2,4,2,0.6310160427807486,58.0,2.6042273326267042
0.9,4,3,4,0.6207455429497569,56.0,2.9359836511806394
1.5,3,4,2,0.6209732693625771,60.0,3.013137899267141
1.17,3,6,4,0.6167531504818385,59.0,3.0338094864378022
1.5,2,6,4,0.6123287671232875,63.0,3.1152848986890427
0.9,2,5,2,0.6175040518638574,60.0,2.882186669874108
0.72,1,4,5,0.6132404181184669,65.0,2.837957011654687
0.71,4,6,3,0.6039689387402933,57.0,2.8372521918222215
1.56,4,0,3,0.6235690235690236,57.0,2.993826982308764
0.71,2,3,3,0.6313932980599647,54.0,2.802320467041555
0.52,2,3,6,0.6109510086455332,58.0,2.7669477768834017
0.71,2,0,4,0.6412078152753107,58.0,2.7562655895250736
1.11,4,1,2,0.6185101580135441,57.0,2.9080921580995334
1.27,3,1,2,0.6226415094339623,56.0,2.9404081349363733
0.24,2,6,2,0.6306532663316582,55.0,2.4825390228554314
1.05,2,2,1,0.6300309597523219,59.0,2.886693610343848
1.01,3,3,1,0.6252945797329144,60.0,2.890328701030386
0.7,3,6,1,0.6180860403863038,55.0,2.775968299530814
0.42,3,5,3,0.608695652173913,59.0,2.6201145013147804
0.34,4,2,6,0.6108048511576626,56.0,2.573130389234094
1.11,4,5,1,0.6119402985074627,55.0,2.9301877072979474
1.65,2,0,2,0.6154864328259432,58.0,2.9966648127543394
0.81,2,2,4,0.6355140186915889,57.0,2.835489375751565
0.81,4,3,5,0.6178184845961698,55.1,2.8853076092507015
1.47,0,2,0,0.6666666666666665,59.0,2.9149614062625253
2.08,3,1,1,0.6121951219512195,58.0,3.1043517841894146
1.55,4,1,3,0.6260162601626017,56.0,3.021754457264852
0.32,4,5,5,0.6133032694475761,54.0,2.5803100588882724
0.55,4,5,3,0.6197718631178707,55.0,2.7289191999764304
0.3,3,1,2,0.6161026837806302,62.0,2.495395760195164
1.56,2,0,2,0.5957727873183619,58.0,2.9852973051272467
0.7,1,5,4,0.6099912357581069,61.0,2.826658805020514
0.3,2,5,3,0.6146682188591386,58.0,2.5418497201841026
0.33,3,3,3,0.6004464285714285,58.0,2.5711864965420146
0.72,3,5,1,0.6175195143104943,58.0,2.7680317917249435
0.7,3,3,4,0.5927209705372617,62.0,2.7967838672303587
1.04,2,6,4,0.6231546231546231,59.0,3.001832773490222
0.34,1,2,3,0.6316964285714285,55.0,2.507189661752776
1.02,3,2,2,0.620203602192639,60.0,2.9113570718824584
0.31,1,5,2,0.6342592592592593,57.0,2.5097808669284256
1.12,4,5,2,0.6157303370786517,55.0,2.961925049693189
1.0,2,2,2,0.6187845303867403,58.0,2.9168476134347503
0.33,4,3,4,0.6213151927437642,56.0,2.5497058653891824
0.55,3,3,2,0.6209523809523809,56.0,2.6806715576511793
1.2,3,2,4,0.6134699853587117,58.0,2.966310840084026
1.51,3,3,2,0.615595075239398,59.0,3.046637490742868
0.54,2,5,3,0.6120114394661582,58.0,2.7280029325497432
0.32,3,1,4,0.6132723112128148,58.0,2.5444056280396805
0.33,3,3,4,0.6143497757847535,59.0,2.598076211353316
0.54,4,3,5,0.6205571565802114,56.0,2.7555398745073534
0.3,4,5,7,0.6173410404624279,55.0,2.6170594185077265
0.31,3,0,2,0.6086956521739131,60.0,2.4783058729704854
0.41,1,4,4,0.5799180327868851,61.0,2.6061465806819077
0.72,4,2,2,0.6219512195121951,58.0,2.794100928742554
0.43,4,2,6,0.6153846153846154,56.0,2.6774988328662253
0.9,2,4,2,0.6113328012769353,56.0,2.8752391204906766
0.3,0,5,5,0.6658653846153846,54.0,2.5244801445050027
1.01,3,3,3,0.623924941360438,58.0,2.9524566042534817
1.5,3,3,1,0.6210670314637482,60.0,2.9779187362988937
0.56,3,5,3,0.6106442577030812,57.0,2.7440845468024486
0.33,4,6,2,0.6237288135593219,54.0,2.5317977802344327
0.5,2,6,4,0.6314741035856574,57.0,2.7289191999764304
1.2,3,3,4,0.6294642857142857,59.0,2.9487285395573464
0.7,2,1,2,0.6217891939769707,55.0,2.76983754036225
0.38,4,4,4,0.6244635193133047,54.0,2.627926939623703
0.43,4,6,2,0.6150670794633643,56.0,2.640075756488817
0.42,4,6,5,0.6208333333333333,55.0,2.6814175355583845
0.31,4,5,3,0.6183908045977012,56.0,2.6021145247663484
1.04,2,4,1,0.6228748068006182,58.0,2.8875595231960154
1.26,4,5,2,0.6152737752161384,59.0,3.009318859808644
0.3,4,6,2,0.6218097447795823,55.0,2.512767398706056
1.56,3,5,3,0.614765100671141,58.0,3.0669202793682135
0.43,3,4,3,0.6096807415036045,57.0,2.622022120425379
0.5,1,4,2,0.5955383123181377,61.0,2.664957785781981
0.27,2,3,6,0.6280193236714975,55.0,2.5177370792042604
0.78,2,6,3,0.6224489795918368,56.0,2.8647862049374644
0.53,1,5,4,0.631782945736434,56.0,2.735324478009876
1.06,4,3,1,0.620583717357911,58.0,2.9180472922829748
0.4,2,4,4,0.630901287553648,59.0,2.6161039734689444
0.59,4,3,2,0.6347417840375587,56.0,2.6883080180663823
1.08,2,5,1,0.6348962336664103,56.0,2.867577374718946
1.21,4,2,3,0.6282335550628233,55.0,2.946183972531247
0.4,3,6,2,0.6165254237288135,58.0,2.626404386228442
0.41,4,6,1,0.6259220231822973,57.0,2.5951878544721962
0.32,4,6,2,0.6271379703534778,54.0,2.574490240804964
0.58,3,5,2,0.5847846012832264,55.0,2.692396701825346
1.1,2,0,1,0.6182917611489039,58.0,2.891712295509358
0.71,1,4,4,0.5804794520547946,61.0,2.801249721106635
0.33,2,4,4,0.5911111111111111,60.0,2.578565492672234
0.25,3,5,4,0.6153846153846155,60.0,2.4647515087732477
0.25,4,5,3,0.6188118811881189,57.0,2.506391828904651
1.0,3,6,2,0.6251968503937009,59.0,2.9460142565846485
0.7,2,4,4,0.6278659611992945,59.0,2.832666588216834
0.32,4,3,3,0.6141552511415526,56.0,2.5649561399758865
0.51,4,5,4,0.6269531250000001,56.0,2.733495930123182
1.51,4,2,3,0.6224350205198358,57.0,3.058430970285254
2.03,2,3,2,0.6127239036442249,59.0,3.132411211830273
1.02,4,1,2,0.6201550387596899,56.0,2.9091235793620043
1.04,2,3,2,0.6180981595092025,59.0,2.920787565024201
0.37,4,4,6,0.6152173913043479,56.0,2.61457453517776
0.43,4,3,4,0.6185567010309279,55.0,2.6170594185077265
0.3,4,3,5,0.6180555555555555,57.0,2.5971137826441106
0.5,1,0,2,0.5963213939980639,60.0,2.6203053257206497
1.56,3,3,1,0.6171352074966533,59.0,3.014796842243271
0.71,2,5,4,0.6214788732394366,57.0,2.830017667789373
1.25,4,2,1,0.6150506512301013,54.0,2.9149614062625253
0.38,4,2,1,0.6119402985074628,54.0,2.496797949374358
0.94,3,4,1,0.6224000000000001,59.0,2.8896366553599777
0.35,4,4,3,0.6142076502732241,55.0,2.5612496949731396
0.3,2,2,2,0.5868814729574222,63.0,2.4945941553687647
0.41,4,4,3,0.618448637316562,57.0,2.6
0.31,4,3,6,0.6199770378874856,55.0,2.5828279075463003
0.32,3,4,7,0.5881032547699214,58.0,2.642915057280502
0.36,3,2,3,0.6086956521739131,59.0,2.567489045740994
1.54,1,2,4,0.6309362279511533,57.0,3.046965703778105
0.41,3,5,1,0.6210526315789474,58.0,2.5546036874630866
2.01,4,3,1,0.6091743119266055,55.0,3.1266595593380484
0.66,2,2,4,0.6151079136690647,58.1,2.7549954627911823
1.02,0,1,1,0.6548672566371682,57.0,2.871062521088665
0.52,4,2,6,0.6121270452358036,57.0,2.738795355626265
1.01,1,3,5,0.6241134751773049,59.0,2.9832867780352594
1.59,3,2,2,0.6096752816434725,58.0,3.014299255216708
0.6,4,3,5,0.6200551977920883,57.0,2.785857139194327
0.26,4,5,4,0.6180048661800488,55.0,2.472650399874596
0.42,4,1,4,0.6198347107438017,55.0,2.5787593916455256
0.8,2,0,2,0.6157718120805368,56.0,2.7761484110184025
2.01,0,0,4,0.6658163265306122,54.0,3.09434968935316
1.76,2,0,1,0.6094750320102432,60.0,3.0184433074020127
1.63,1,4,2,0.5767741935483871,60.0,3.049098227345259
1.24,4,0,1,0.6014285714285714,57.0,2.9108418026406038
0.58,4,3,1,0.6148148148148147,55.0,2.6741353742845555
0.74,4,3,2,0.61340206185567,57.0,2.8370759595047854
0.36,4,2,3,0.6138828633405641,57.0,2.5248762345905194
0.3,2,4,3,0.6287703016241298,57.0,2.530810146968753
0.71,2,5,2,0.6313932980599647,58.0,2.7978563222581676
1.34,3,3,3,0.6066619418851878,59.0,3.0227470949452586
1.01,3,5,1,0.6157443491816056,58.0,2.906544339933592
0.41,4,3,3,0.6272439281942979,56.0,2.6395075298244555
0.9,2,6,2,0.6276422764227642,59.0,2.898965332666122
0.31,4,3,6,0.6085972850678733,56.0,2.578565492672234
0.37,3,4,1,0.6021505376344085,60.0,2.5369272752682526
2.01,4,0,2,0.6234413965087282,57.0,3.0727837541877236
0.71,3,6,3,0.6124234470691163,59.0,2.818865019826242
1.52,0,2,2,0.645876645876646,55.0,2.9856322613476696
2.22,3,4,1,0.591764705882353,59.0,3.0844772652752686
0.47,2,4,2,0.6112224448897795,61.0,2.6322993750711565
1.0,0,5,2,0.6634225466342255,62.0,2.885827437668441
2.25,3,1,1,0.6189624329159213,59.0,3.0522123124055445
0.55,4,0,2,0.6091081593927894,57.0,2.6463181970428273
0.38,4,3,5,0.6223175965665235,53.6,2.614192035792321
1.51,1,3,3,0.6422145328719723,54.0,3.059738550922284
1.21,4,1,4,0.6054913294797688,58.0,2.957532755524442
1.0,1,5,6,0.639488409272582,59.0,3.0051622252384314
0.33,3,5,2,0.604494382022472,59.0,2.5711864965420146
1.39,3,3,2,0.6129256428075052,59.0,2.9946619174791667
1.5,2,2,1,0.6198347107438017,63.0,2.982281006209844
0.53,4,3,4,0.6149425287356322,57.0,2.736969126607021
0.3,3,5,2,0.6225319396051104,58.0,2.5524498036200436
0.3,3,1,5,0.6096997690531178,60.0,2.5029982021567654
0.6,4,5,3,0.6115702479338843,56.0,2.773265223522626
0.5,3,2,1,0.6104023552502453,58.0,2.6201145013147804
0.61,4,3,4,0.6206261510128914,56.0,2.7714617081965973
0.46,4,0,6,0.625254582484725,56.0,2.631729469379404
2.01,1,2,2,0.6221945137157108,58.0,3.118493225902535
1.07,4,1,2,0.6155015197568389,57.0,2.9422780290108546
1.01,2,2,1,0.6341463414634146,57.0,2.861118662341707
0.41,4,3,1,0.6097814776274715,57.0,2.5940316112183366
0.45,3,5,4,0.6077235772357724,60.0,2.6750700925396327
0.42,4,1,6,0.6248693834900731,57.0,2.604611295375953
0.92,4,1,2,0.6182108626198084,57.0,2.8476305940202287
1.01,1,5,3,0.6387351778656127,59.0,2.9747268782192426
0.23,2,6,5,0.6037735849056604,59.0,2.5045957757690163
0.54,4,4,3,0.6277511961722488,57.0,2.7186393655650614
0.55,2,5,5,0.6033519553072626,56.0,2.7898028604186353
0.4,4,5,6,0.6240681576144835,57.0,2.691096430825176
0.78,2,2,1,0.6313993174061434,56.0,2.785857139194327
0.9,2,4,1,0.6260162601626016,56.0,2.84991227935177
0.52,2,6,3,0.6346718903036239,57.0,2.740620367726986
0.7,1,4,5,0.6305506216696269,58.0,2.8122944369322354
0.9,1,2,4,0.6345053147996729,59.0,2.892749557082327
0.9,1,2,2,0.6206896551724138,61.0,2.853944638566067
1.51,1,2,2,0.6218256691832533,61.0,3.014796842243271
1.0,1,4,2,0.6359300476947537,58.0,2.9163333142835373
1.08,4,3,3,0.6181818181818183,55.0,2.973886346180701
1.72,1,4,2,0.6319947333772218,61.0,3.083828789021855
0.38,4,4,1,0.6065747613997879,56.0,2.591910492281707
0.9,1,4,3,0.6382978723404256,55.0,2.892749557082327
0.36,2,2,3,0.6099137931034482,55.0,2.5234896472940007
0.91,4,4,1,0.6199677938808373,56.0,2.905684084686427
0.37,3,3,2,0.6207650273224044,60.0,2.5616400996236766
0.9,3,4,1,0.6114649681528663,54.0,2.85447017850949
0.5,4,5,3,0.6042471042471043,56.0,2.746816338964074
1.51,4,3,5,0.6229508196721311,55.0,3.0982252984571668
0.32,4,2,3,0.6117381489841986,55.0,2.5019992006393608
0.51,2,1,3,0.632936507936508,56.0,2.653111381001559
0.41,4,3,3,0.6267087276550999,56.0,2.6395075298244555
0.9,2,5,1,0.6415094339622641,54.0,2.854119829299394
2.01,4,1,1,0.6209876543209877,55.0,3.0693647551244214
0.32,4,2,6,0.6194285714285714,55.0,2.6157216977346804
2.0,1,3,3,0.640960809102402,55.0,3.1292171544972716
0.91,3,6,2,0.628152969894223,57.0,2.8894636180440134
0.71,3,4,6,0.5813559322033898,58.0,2.8488594208911047
1.53,4,4,2,0.6249149081007488,57.0,3.058103987767584
1.19,3,2,2,0.6083150984682713,59.0,2.940748204114048
0.62,0,4,2,0.5506493506493506,66.0,2.7208454568387377
1.2,2,1,2,0.6291635825314581,57.0,2.925576866192375
0.7,4,5,2,0.6164623467600701,56.0,2.8479817415145066
0.39,2,3,6,0.6274089935760172,58.0,2.598076211353316
0.33,4,2,7,0.6185101580135441,55.0,2.601153590236455
0.53,4,5,5,0.6218809980806141,54.0,2.7801079115746568
0.34,3,5,3,0.6095661846496108,59.0,2.5715753926338616
1.02,3,4,5,0.6092307692307692,59.0,3.0133038346638727
0.5,0,4,0,0.6700715015321758,57.0,2.5379125280434707
0.55,4,3,5,0.6039142590866728,56.0,2.752271788904577
0.3,4,3,7,0.6234067207415991,55.0,2.6
0.31,4,3,6,0.6123853211009175,56.0,2.6368541863364383
0.77,1,5,3,0.634020618556701,57.0,2.8458742066366884
0.55,1,4,2,0.6422372227579556,57.9,2.6914680009244027
0.9,1,6,3,0.6583333333333333,58.0,2.907060370890154
0.3,3,1,4,0.5879682179341658,61.0,2.5317977802344327
1.26,3,0,2,0.6178390137781001,58.0,2.9211299183706294
0.8,4,4,3,0.6213266162888329,56.0,2.8818396901979124
0.73,3,5,2,0.6265270506108201,58.0,2.8110496260293947
0.27,2,2,5,0.6256038647342994,55.0,2.4945941553687647
0.5,2,6,2,0.6190009794319294,61.0,2.6962937525425525
1.0,2,3,1,0.6305732484076433,63.0,2.86705423736629
0.9,0,1,5,0.6695059625212947,56.0,2.8339019037362605
0.52,4,2,4,0.620889748549323,56.0,2.716063327685862
0.75,2,5,3,0.6037099494097808,56.0,2.8717590428167887
0.71,2,5,1,0.6194225721784777,63.0,2.788010043023518
0.4,2,6,2,0.6305732484076433,57.0,2.613235542388018
1.56,4,1,5,0.6212018906144497,56.0,3.0425318404250103
0.29,2,4,6,0.6233766233766235,58.0,2.54911749434976
0.9,2,6,4,0.6303818034118603,56.0,2.9424479604574145
1.03,4,4,4,0.5899172310007524,55.0,2.992657681727063
1.07,2,6,2,0.602102102102102,55.0,2.949576240750525
0.28,2,5,6,0.5955967555040557,59.0,2.542636427018224
0.59,4,3,3,0.6261682242990655,54.0,2.7234169713798875
0.9,4,6,1,0.626938775510204,57.0,2.879583303188154
0.43,2,2,6,0.601823708206687,55.0,2.665895721891612
2.0,2,2,2,0.632895559724828,59.0,3.1280984639234104
1.01,3,2,2,0.628930817610063,58.0,2.8421822601655933
1.33,4,3,4,0.6201550387596899,55.0,3.043517701607796
0.31,4,6,2,0.6201372997711672,56.0,2.55499510762741
0.41,4,5,5,0.6232948583420777,56.0,2.669269563007828
1.51,3,1,4,0.6296296296296297,59.0,3.026549190084311
0.3,3,1,4,0.6169965075669382,58.0,2.5317977802344327
0.4,1,0,4,0.6335135135135136,58.0,2.5390943267236055
1.04,0,3,4,0.6493301812450748,58.0,2.9387071987525397
2.33,3,0,2,0.5994236311239193,59.0,3.0977411124882597
0.35,4,6,3,0.609271523178808,57.0,2.592296279363144
1.26,3,1,1,0.6010064701653486,59.0,2.9235252692597
0.4,3,6,3,0.6174920969441517,59.0,2.637612556839992
0.71,1,1,5,0.6366047745358091,56.0,2.7808272150566995
0.71,3,5,6,0.6273127753303964,60.0,2.8700174215499112
1.12,4,4,5,0.6142322097378276,57.0,3.0286960890785988
1.74,4,0,4,0.6112531969309463,56.0,3.0533588062984016
0.73,3,5,3,0.6196213425129088,57.0,2.820638225650358
0.71,4,4,1,0.6135181975736569,55.0,2.7989283663573814
0.4,4,5,3,0.6113445378151261,56.0,2.610747019532915
0.41,2,2,2,0.6,61.0,2.5546036874630866
0.38,3,4,6,0.592050209205021,58.0,2.67132925713024
1.33,1,1,4,0.6368876080691643,56.0,2.9745587908125133
0.4,4,3,6,0.6176470588235294,53.0,2.6391286440793293
0.7,2,1,6,0.6289752650176679,58.0,2.7980350247986534
0.37,4,3,7,0.6047008547008548,56.0,2.61361818175494
0.59,3,4,2,0.6224299065420561,60.0,2.7678511520672493
0.54,3,4,2,0.6233269598470362,58.0,2.726536264200423
0.7,2,3,3,0.6308370044052862,58.0,2.7824449680092505
0.91,2,2,2,0.5916601101494885,60.0,2.8799305547182903
0.31,1,4,5,0.6357308584686775,55.0,2.5479403446705735
0.33,2,3,6,0.6138165345413363,60.0,2.601153590236455
0.34,4,1,2,0.6241610738255032,56.0,2.475681724293331
1.1,4,3,5,0.6047548291233283,56.0,3.021423505568195
0.5,2,3,2,0.6003937007874015,63.0,2.662329806766998
0.31,3,3,3,0.5990888382687926,59.0,2.5097808669284256
0.27,2,6,4,0.6319612590799031,55.0,2.4805241381611265
0.31,3,1,2,0.6231386025200458,58.0,2.507189661752776
0.5,1,4,3,0.6277665995975854,61.0,2.6975915183733803
1.26,3,3,1,0.5912305516265912,59.0,2.9466930617219025
1.41,1,2,3,0.6384180790960451,60.0,3.0220853727186463
0.58,4,4,4,0.6120930232558139,57.0,2.7549954627911823
0.53,3,6,2,0.6142034548944337,58.0,2.7121946832777324
0.72,2,1,1,0.6338893766461808,56.0,2.7482721844824614
0.32,4,0,3,0.6224256292906178,57.0,2.4441767530193066
0.3,2,2,3,0.6258823529411766,58.0,2.4817332652805377
1.31,4,3,4,0.6186440677966102,56.0,3.0364452901377956
0.53,4,2,2,0.626204238921002,56.0,2.6423474411969368
0.34,3,3,2,0.5973451327433629,59.0,2.544995088403905
1.0,2,5,2,0.6012364760432766,60.0,2.945674795356745
0.53,4,5,1,0.6081982840800763,57.0,2.667208278331484
0.5,4,2,3,0.6061776061776062,56.0,2.6975915183733803
1.43,3,6,3,0.6263888888888889,59.0,3.0883652633715464
0.52,3,4,0,0.6297376093294461,56.0,2.601538006641456
0.3,2,1,2,0.6254375729288215,57.0,2.438237068047322
