carat,cut,color,clarity,depth,table,price
1.02,Ideal,I,SI1,0.6201550387596899,56.0,8.463
1.04,Very Good,G,SI1,0.6180981595092025,59.0,8.531
0.37,Ideal,F,VVS1,0.6152173913043479,56.0,6.836
0.43,Ideal,G,VS1,0.6185567010309279,55.0,6.849
0.3,Ideal,G,VVS2,0.6180555555555555,57.0,6.745
0.5,Good,J,SI1,0.5963213939980639,60.0,6.866
1.56,Premium,G,SI2,0.6171352074966533,59.0,9.089
0.71,Very Good,E,VS1,0.6214788732394366,57.0,8.009
1.25,Ideal,H,SI2,0.6150506512301013,54.0,8.497
0.38,Ideal,H,SI2,0.6119402985074628,54.0,6.234
0.94,Premium,F,SI2,0.6224000000000001,59.0,8.35
0.35,Ideal,F,VS2,0.6142076502732241,55.0,6.56
0.3,Very Good,H,SI1,0.5868814729574222,63.0,6.223
0.41,Ideal,F,VS2,0.618448637316562,57.0,6.76
0.31,Ideal,G,VVS1,0.6199770378874856,55.0,6.671
0.32,Premium,F,IF,0.5881032547699214,58.0,6.985
0.36,Premium,H,VS2,0.6086956521739131,59.0,6.592
1.54,Good,H,VS1,0.6309362279511533,57.0,9.284
0.41,Premium,E,SI2,0.6210526315789474,58.0,6.526
2.01,Ideal,G,SI2,0.6091743119266055,55.0,9.776
0.66,Very Good,H,VS1,0.6151079136690647,58.1,7.59
1.02,Fair,I,SI2,0.6548672566371682,57.0,8.243
0.52,Ideal,H,VVS1,0.6121270452358036,57.0,7.501
1.01,Good,G,VVS2,0.6241134751773049,59.0,8.9
1.59,Premium,H,SI1,0.6096752816434725,58.0,9.086
0.6,Ideal,G,VVS2,0.6200551977920883,57.0,7.761
0.26,Ideal,E,VS1,0.6180048661800488,55.0,6.114
0.42,Ideal,I,VS1,0.6198347107438017,55.0,6.65
0.8,Very Good,J,SI1,0.6157718120805368,56.0,7.707
2.01,Fair,J,VS1,0.6658163265306122,54.0,9.575
1.76,Very Good,J,SI2,0.6094750320102432,60.0,9.111
1.63,Good,F,SI1,0.5767741935483871,60.0,9.297
1.24,Ideal,J,SI2,0.6014285714285714,57.0,8.473
0.58,Ideal,G,SI2,0.6148148148148147,55.0,7.151
0.74,Ideal,G,SI1,0.61340206185567,57.0,8.049
0.36,Ideal,H,VS2,0.6138828633405641,57.0,6.375
0.3,Very Good,F,VS2,0.6287703016241298,57.0,6.405
0.71,Very Good,E,SI1,0.6313932980599647,58.0,7.828
1.34,Premium,G,VS2,0.6066619418851878,59.0,9.137
1.01,Premium,E,SI2,0.6157443491816056,58.0,8.448
0.41,Ideal,G,VS2,0.6272439281942979,56.0,6.967
0.9,Very Good,D,SI1,0.6276422764227642,59.0,8.404
0.31,Ideal,G,VVS1,0.6085972850678733,56.0,6.649
0.37,Premium,F,SI2,0.6021505376344085,60.0,6.436
2.01,Ideal,J,SI1,0.6234413965087282,57.0,9.442
0.71,Premium,D,VS2,0.6124234470691163,59.0,7.946
1.52,Fair,H,SI1,0.645876645876646,55.0,8.914
2.22,Premium,F,SI2,0.591764705882353,59.0,9.514
0.47,Very Good,F,SI1,0.6112224448897795,61.0,6.929
1.0,Fair,E,SI1,0.6634225466342255,62.0,8.328
2.25,Premium,I,SI2,0.6189624329159213,59.0,9.316
0.55,Ideal,J,SI1,0.6091081593927894,57.0,7.003
0.38,Ideal,G,VVS2,0.6223175965665235,53.6,6.834
1.51,Good,G,VS2,0.6422145328719723,54.0,9.362
1.21,Ideal,I,VS1,0.6054913294797688,58.0,8.747
1.0,Good,E,VVS1,0.639488409272582,59.0,9.031
0.33,Premium,E,SI1,0.604494382022472,59.0,6.611
1.39,Premium,G,SI1,0.6129256428075052,59.0,8.968
1.5,Very Good,H,SI2,0.6198347107438017,63.0,8.894
0.53,Ideal,G,VS1,0.6149425287356322,57.0,7.491
0.3,Premium,E,SI1,0.6225319396051104,58.0,6.515
0.3,Premium,I,VVS2,0.6096997690531178,60.0,6.265
0.6,Ideal,E,VS2,0.6115702479338843,56.0,7.691
0.5,Premium,H,SI2,0.6104023552502453,58.0,6.865
0.61,Ideal,G,VS1,0.6206261510128914,56.0,7.681
0.46,Ideal,J,VVS1,0.625254582484725,56.0,6.926
2.01,Good,H,SI1,0.6221945137157108,58.0,9.725
1.07,Ideal,I,SI1,0.6155015197568389,57.0,8.657
1.01,Very Good,H,SI2,0.6341463414634146,57.0,8.186
0.41,Ideal,G,SI2,0.6097814776274715,57.0,6.729
0.45,Premium,E,VS1,0.6077235772357724,60.0,7.156
0.42,Ideal,I,VVS1,0.6248693834900731,57.0,6.784
0.92,Ideal,I,SI1,0.6182108626198084,57.0,8.109
1.01,Good,E,VS2,0.6387351778656127,59.0,8.849
0.23,Very Good,D,VVS2,0.6037735849056604,59.0,6.273
0.54,Ideal,F,VS2,0.6277511961722488,57.0,7.391
0.55,Very Good,E,VVS2,0.6033519553072626,56.0,7.783
0.4,Ideal,E,VVS1,0.6240681576144835,57.0,7.242
0.78,Very Good,H,SI2,0.6313993174061434,56.0,7.761
0.9,Very Good,F,SI2,0.6260162601626016,56.0,8.122
0.52,Very Good,D,VS2,0.6346718903036239,57.0,7.511
0.7,Good,F,VVS2,0.6305506216696269,58.0,7.909
0.9,Good,H,VS1,0.6345053147996729,59.0,8.368
0.9,Good,H,SI1,0.6206896551724138,61.0,8.145
1.51,Good,H,SI1,0.6218256691832533,61.0,9.089
1.0,Good,F,SI1,0.6359300476947537,58.0,8.505
1.08,Ideal,G,VS2,0.6181818181818183,55.0,8.844
1.72,Good,F,SI1,0.6319947333772218,61.0,9.51
0.38,Ideal,F,SI2,0.6065747613997879,56.0,6.718
0.9,Good,F,VS2,0.6382978723404256,55.0,8.368
0.36,Very Good,H,VS2,0.6099137931034482,55.0,6.368
0.91,Ideal,F,SI2,0.6199677938808373,56.0,8.443
0.37,Premium,G,SI1,0.6207650273224044,60.0,6.562
0.9,Premium,F,SI2,0.6114649681528663,54.0,8.148
0.5,Ideal,E,VS2,0.6042471042471043,56.0,7.545
1.51,Ideal,G,VVS2,0.6229508196721311,55.0,9.599
0.32,Ideal,H,VS2,0.6117381489841986,55.0,6.26
0.51,Very Good,I,VS2,0.632936507936508,56.0,7.039
0.41,Ideal,G,VS2,0.6267087276550999,56.0,6.967
0.9,Very Good,E,SI2,0.6415094339622641,54.0,8.146
2.01,Ideal,I,SI2,0.6209876543209877,55.0,9.421
0.32,Ideal,H,VVS1,0.6194285714285714,55.0,6.842
2.0,Good,G,VS2,0.640960809102402,55.0,9.792
0.91,Premium,D,SI1,0.628152969894223,57.0,8.349
0.71,Premium,F,VVS1,0.5813559322033898,58.0,8.116
1.53,Ideal,F,SI1,0.6249149081007488,57.0,9.352
1.19,Premium,H,SI1,0.6083150984682713,59.0,8.648
0.62,Fair,F,SI1,0.5506493506493506,66.0,7.403
1.2,Very Good,I,SI1,0.6291635825314581,57.0,8.559
0.7,Ideal,E,SI1,0.6164623467600701,56.0,8.111
0.39,Very Good,G,VVS1,0.6274089935760172,58.0,6.75
0.33,Ideal,H,IF,0.6185101580135441,55.0,6.766
0.53,Ideal,E,VVS2,0.6218809980806141,54.0,7.729
0.34,Premium,E,VS2,0.6095661846496108,59.0,6.613
1.02,Premium,F,VVS2,0.6092307692307692,59.0,9.08
0.5,Fair,F,I1,0.6700715015321758,57.0,6.441
0.55,Ideal,G,VVS2,0.6039142590866728,56.0,7.575
0.3,Ideal,G,IF,0.6234067207415991,55.0,6.76
0.31,Ideal,G,VVS1,0.6123853211009175,56.0,6.953
0.77,Good,E,VS2,0.634020618556701,57.0,8.099
0.55,Good,F,SI1,0.6422372227579556,57.9,7.244
0.9,Good,D,VS2,0.6583333333333333,58.0,8.451
0.3,Premium,I,VS1,0.5879682179341658,61.0,6.41
1.26,Premium,J,SI1,0.6178390137781001,58.0,8.533
0.8,Ideal,F,VS2,0.6213266162888329,56.0,8.305
0.73,Premium,E,SI1,0.6265270506108201,58.0,7.902
0.27,Very Good,H,VVS2,0.6256038647342994,55.0,6.223
0.5,Very Good,D,SI1,0.6190009794319294,61.0,7.27
1.0,Very Good,G,SI2,0.6305732484076433,63.0,8.22
0.9,Fair,I,VVS2,0.6695059625212947,56.0,8.031
0.52,Ideal,H,VS1,0.620889748549323,56.0,7.377
0.75,Very Good,E,VS2,0.6037099494097808,56.0,8.247
0.71,Very Good,E,SI2,0.6194225721784777,63.0,7.773
0.4,Very Good,D,SI1,0.6305732484076433,57.0,6.829
1.56,Ideal,I,VVS2,0.6212018906144497,56.0,9.257
0.29,Very Good,F,VVS1,0.6233766233766235,58.0,6.498
0.9,Very Good,D,VS1,0.6303818034118603,56.0,8.658
1.03,Ideal,F,VS1,0.5899172310007524,55.0,8.956
1.07,Very Good,D,SI1,0.602102102102102,55.0,8.7
0.28,Very Good,E,VVS1,0.5955967555040557,59.0,6.465
0.59,Ideal,G,VS2,0.6261682242990655,54.0,7.417
0.9,Ideal,D,SI2,0.626938775510204,57.0,8.292
0.43,Very Good,H,VVS1,0.601823708206687,55.0,7.107
2.0,Very Good,H,SI1,0.632895559724828,59.0,9.785
1.01,Premium,H,SI1,0.628930817610063,58.0,8.078
1.33,Ideal,G,VS1,0.6201550387596899,55.0,9.263
0.31,Ideal,D,SI1,0.6201372997711672,56.0,6.528
0.41,Ideal,E,VVS2,0.6232948583420777,56.0,7.125
1.51,Premium,I,VS1,0.6296296296296297,59.0,9.16
0.3,Premium,I,VS1,0.6169965075669382,58.0,6.41
0.4,Good,J,VS1,0.6335135135135136,58.0,6.447
1.04,Fair,G,VS1,0.6493301812450748,58.0,8.636
2.33,Premium,J,SI1,0.5994236311239193,59.0,9.596
0.35,Ideal,D,VS2,0.609271523178808,57.0,6.72
1.26,Premium,I,SI2,0.6010064701653486,59.0,8.547
0.4,Premium,D,VS2,0.6174920969441517,59.0,6.957
0.71,Good,I,VVS2,0.6366047745358091,56.0,7.733
0.71,Premium,E,VVS1,0.6273127753303964,60.0,8.237
1.12,Ideal,F,VVS2,0.6142322097378276,57.0,9.173
1.74,Ideal,J,VS1,0.6112531969309463,56.0,9.323
0.73,Premium,E,VS2,0.6196213425129088,57.0,7.956
0.71,Ideal,F,SI2,0.6135181975736569,55.0,7.834
0.4,Ideal,E,VS2,0.6113445378151261,56.0,6.816
0.41,Very Good,H,SI1,0.6,61.0,6.526
0.38,Premium,F,VVS1,0.592050209205021,58.0,7.136
1.33,Good,I,VS1,0.6368876080691643,56.0,8.848
0.4,Ideal,G,VVS1,0.6176470588235294,53.0,6.965
0.7,Very Good,I,VVS1,0.6289752650176679,58.0,7.829
0.37,Ideal,G,IF,0.6047008547008548,56.0,6.831
0.59,Premium,F,SI1,0.6224299065420561,60.0,7.661
0.54,Premium,F,SI1,0.6233269598470362,58.0,7.434
0.7,Very Good,G,VS2,0.6308370044052862,58.0,7.742
0.91,Very Good,H,SI1,0.5916601101494885,60.0,8.294
0.31,Good,F,VVS2,0.6357308584686775,55.0,6.492
0.33,Very Good,G,VVS1,0.6138165345413363,60.0,6.766
0.34,Ideal,I,SI1,0.6241610738255032,56.0,6.129
1.1,Ideal,G,VVS2,0.6047548291233283,56.0,9.129
0.5,Very Good,G,SI1,0.6003937007874015,63.0,7.088
0.31,Premium,G,VS2,0.5990888382687926,59.0,6.299
0.27,Very Good,D,VS1,0.6319612590799031,55.0,6.153
0.31,Premium,I,SI1,0.6231386025200458,58.0,6.286
0.5,Good,F,VS2,0.6277665995975854,61.0,7.277
1.26,Premium,G,SI2,0.5912305516265912,59.0,8.683
1.41,Good,H,VS2,0.6384180790960451,60.0,9.133
0.58,Ideal,F,VS1,0.6120930232558139,57.0,7.59
0.53,Premium,D,SI1,0.6142034548944337,58.0,7.356
0.72,Very Good,I,SI2,0.6338893766461808,56.0,7.553
0.32,Ideal,J,VS2,0.6224256292906178,57.0,5.974
0.3,Very Good,H,VS2,0.6258823529411766,58.0,6.159
1.31,Ideal,G,VS1,0.6186440677966102,56.0,9.22
0.53,Ideal,H,SI1,0.626204238921002,56.0,6.982
0.34,Premium,G,SI1,0.5973451327433629,59.0,6.477
1.0,Very Good,E,SI1,0.6012364760432766,60.0,8.677
0.53,Ideal,E,SI2,0.6081982840800763,57.0,7.114
0.5,Ideal,H,VS2,0.6061776061776062,56.0,7.277
1.43,Premium,D,VS2,0.6263888888888889,59.0,9.538
0.52,Premium,F,I1,0.6297376093294461,56.0,6.768
